title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique Liquid Glam,021278,"Ten przezroczysty i wszechstronny żel z brokatem nadaje skórze błyszczące akcenty, podkreślając oczy, kości policzkowe, usta lub dekolt.",https://www.labiosthetique.pl/liquid-glam,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg,"155,00 EUR",new,in stock,4040218876796,La Biosthétique,4 ml,Makijaż,Health & Beauty > Personal Care > Cosmetics > Makeup,1 ml,4 ml,FALSE
La Biosthétique La Capsule,002195,"Serum La Capsule regeneruje i ujędrnia skórę, dostarczając aktywnych składników, które przywracają piękną i zadbaną skórę twarzy. Pielęgnacja skóry na najwyższym poziomie.",https://www.labiosthetique.pl/la-capsule?childSku=4040218002195,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/a/la_capsule_248015_63Kapseln_5cac777.jpg/la_capsule_248015_63Kapseln_5cac777.jpg,"355,00 EUR",new,in stock,4040218002195,La Biosthétique,63 capsules,Pielęgnacja twarzy & ciała,Health & Beauty > Personal Care > Cosmetics > Skin Care,,63 capsules,FALSE
La Biosthétique Sun Care Stick SPF 50+,002628,<p>Łatwo wchłaniający się krem przeciwsłoneczny z SPF 50+ zapewnia wrażliwej skórze twarzy i ciała kompleksową ochronę przed poparzeniami słonecznymi oraz głębszymi uszkodzeniami spowodowanymi promieniowaniem UV.</p>,https://www.labiosthetique.pl/sun-care-stick-spf-50,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg,"119,00 EUR",new,in stock,4040218848595,La Biosthétique,8 g,Pielęgnacja twarzy & ciała,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 kg,8 g,FALSE
La Biosthétique Colour Protection Structure Restoring Treatment,123212,"W dwóch fazach intensywna pielęgnacja włosów naprawia i regeneruje wewnętrzną i zewnętrzną strukturę chemicznie uszkodzonych włosów, wzmacnia je, zapobiega łamliwości oraz chroni przed negatywnym wpływem środowiska i przedwczesnym utratą koloru.",https://www.labiosthetique.pl/colour-protection-structure-restoring-treatment,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg,"305,00 EUR",new,in stock,4040218849295,La Biosthétique,1 set,Pielęgnacja włosów,Health & Beauty > Personal Care > Hair Care,1 l,1 set,FALSE
La Biosthétique After Sun Soothing Hydro Spray,002241,"To orzeźwiające Hydro Spray natychmiast koi i odpręża skórę po opalaniu, zapewniając jej intensywne nawodnienie.",https://www.labiosthetique.pl/after-sun-soothing-hydro-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg,"117,00 EUR",new,in stock,4040218863895,La Biosthétique,100 ml,Pielęgnacja twarzy & ciała,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Fortifying Shampoo,120613,"Łagodny szampon wzmacnia korzenie włosów, nadaje osłabionym, łamliwym włosom nową siłę i przygotowuje skórę głowy do kolejnej pielęgnacji w celu zwalczania wypadania włosów i zaburzeń wzrostu włosów.",https://www.labiosthetique.pl/fortifying-shampoo,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg,"140,00 EUR",new,in stock,4040218871395,La Biosthétique,250 ml,Pielęgnacja włosów,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Magic Shadow 47 Smooth Cappuccino,016756,"Jedwabisty, pudrowy i długotrwały cień do powiek w odcieniu cappucino.",https://www.labiosthetique.pl/magic-shadow?childSku=4040218824094,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg,"117,00 EUR",new,in stock,4040218824094,La Biosthétique,"2,5 g",Makijaż,Health & Beauty > Personal Care > Cosmetics > Makeup,,"2,5 g",FALSE
La Biosthétique Sensual Lipstick Brilliant B236 Sparkling Sorbet,019462,Pomadka z drobinkami,https://www.labiosthetique.pl/sensual-lipstick-brilliant?childSku=4040218830293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg,"105,00 EUR",new,in stock,4040218830293,La Biosthétique,"3,3 g",Makijaż,Health & Beauty > Personal Care > Cosmetics > Makeup,,"3,3 g",FALSE
La Biosthétique Volume Strengthening Shampoo,120772,"Strengthening Shampoo to delikatnie oczyszczający szampon, ożywiający cienkie i delikatne włosy. Wzmacnia i uszczelnia włókna włosów. Tworzy zauważalnie większą grubość i objętość włosów.",https://www.labiosthetique.pl/volume-strengthening-shampoo?childSku=4040218843293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg,"135,00 EUR",new,in stock,4040218843293,La Biosthétique,250 ml,Pielęgnacja włosów,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Dermosthétique Instant Lifting Eye Patch,002795,Hydrożelowe płatki pod oczy z kompleksem AGE3 i natychmiastowym efektem liftingu.,https://www.labiosthetique.pl/dermosthetique-age-3-instant-lifting-eye-patch,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg,"295,00 EUR",new,in stock,4040218846393,La Biosthétique,20 pcs,Pielęgnacja twarzy & ciała,Health & Beauty > Personal Care > Cosmetics > Skin Care,,20 pcs,FALSE
La Biosthétique Magic Shadow 51 Pale Mauve,016518,"Ten unikatowy cień do powiek zawiera kolorowe pigmenty, które w magiczny sposób dodają powiekom urzekających akcentów.",https://www.labiosthetique.pl/magic-shadow?childSku=4040218866193,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg/magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg,"120,00 EUR",new,in stock,4040218866193,La Biosthétique,"2,5 g",Makijaż,Health & Beauty > Personal Care > Cosmetics > Makeup,,"2,5 g",FALSE
La Biosthétique Styling Brush,048796,"Szczotka do stylizacji włosów wykonana z drewna posiadająca dwa rodzaje włosia, z dzika i nylonowe, dodaje włosom blasku i objętości.",https://www.labiosthetique.pl/styling-brush,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/styling_brush_342827_1St_ck_fbe586e.jpg/styling_brush_342827_1St_ck_fbe586e.jpg,"263,00 EUR",new,in stock,4040218781892,La Biosthétique,1 pcs,"Pielęgnacja włosów,Stylizacja","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",,1 pcs,FALSE
La Biosthétique Eyeshadow Pen Blooming Grace,016312,"Praktyczny cień do powiek w kredce: szybko i łatwo tworzy doskonały, przydymiony oraz wodoodporny makijaż oczu",https://www.labiosthetique.pl/eyeshadow-pen?childSku=4040218860191,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_blooming_grace_322643_1_4g_48ca459.jpg/eyeshadow_pen_blooming_grace_322643_1_4g_48ca459.jpg,"90,00 EUR",new,in stock,4040218860191,La Biosthétique,"1,4 g",Makijaż,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Long Hair Protective Conditioning Fluid,120045,"Błyskawiczny w aplikacji i wtapiający się we włosy fluid bez spłukiwania. Głęboko nawilża i wyrównuje uszkodzenia strukturalne na całej długości. Poprawia elastyczność włosów. Dodatkowo skutecznie chroni przed szkodliwymi czynnikami zewnętrznymi i smogiem. Sprawia, że włosy stają się bardziej sprężyste, jedwabiste i łatwe w rozczesaniu i modelowaniu, a końcówki spójne i chronione przed uszkodzeniem.",https://www.labiosthetique.pl/long-hair-protective-conditioning-fluid-1,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/o/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg/long_hair_protective_conditioning_fluid_386232_125ml_35ec887.jpg,"150,00 EUR",new,in stock,4040218861891,La Biosthétique,125 ml,Pielęgnacja włosów,Health & Beauty > Personal Care > Hair Care,1 l,125 ml,FALSE
La Biosthétique Magic Shadow 54 Satin Mango,016594,"Ten unikatowy cień do powiek zawiera kolorowe pigmenty, które w magiczny sposób dodają powiekom urzekających akcentów.",https://www.labiosthetique.pl/magic-shadow?childSku=4040218870091,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_54_satin_mango_378589_2_5g_c94a2fa.jpg/magic_shadow_54_satin_mango_378589_2_5g_c94a2fa.jpg,"125,00 EUR",new,in stock,4040218870091,La Biosthétique,"2,5 g",Makijaż,Health & Beauty > Personal Care > Cosmetics > Makeup,,"2,5 g",FALSE
La Biosthétique Eyeshadow Pen Sugar Plum,016347,"Praktyczny cień do powiek w kredce: szybko i łatwo tworzy doskonały, przydymiony oraz wodoodporny makijaż oczu",https://www.labiosthetique.pl/eyeshadow-pen?childSku=4040218881691,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_sugar_plum_396594_1_4g_20e1f93.jpg/eyeshadow_pen_sugar_plum_396594_1_4g_20e1f93.jpg,"99,00 EUR",new,in stock,4040218881691,La Biosthétique,"1,4 g",Makijaż,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Sun Care Styling Lacquer,120253,Lakier do włosów z ochroną przeciwsłoneczną,https://www.labiosthetique.pl/sun-care-styling-lacquer,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_styling_lacquer_402607_200ml_5ccb900.jpg/sun_care_styling_lacquer_402607_200ml_5ccb900.jpg,"115,00 EUR",new,in stock,4040218837490,La Biosthétique,200 ml,"Pielęgnacja włosów,Stylizacja","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",1 l,200 ml,FALSE
La Biosthétique Spa Relaxing Body Lotion,002192,Relaksująca balsam do ciała,https://www.labiosthetique.pl/spa-relaxing-body-lotion?childSku=4040218855890,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg/spa_relaxing_body_lotion_329677_250ml_05514d9.jpg,"141,00 EUR",new,in stock,4040218855890,La Biosthétique,250 ml,Pielęgnacja twarzy & ciała,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,250 ml,FALSE
