title,id,description,link,image_link,price,condition,availability,gtin,brand,size,product_type,google_product_category,unit_pricing_base_measure,unit_pricing_measure,is_bundle
La Biosthétique After Sun Soothing Hydro Spray,002241,The refreshing hydro spray instantly calms and relaxes sun-stressed skin and supplies valuable moisture.,https://www.labiosthetique.ca/en/after-sun-soothing-hydro-spray,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg,"42,00 CAD",new,in stock,4040218863895,La Biosthétique,100 ml,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,1 l,100 ml,FALSE
La Biosthétique Brow Definer B01 Dark Brown,017622,"The stylishly slim Brow Definer effortlessly defines precise, natural-looking eyebrows, fills in individual hairs and shades contours. Its ultra-fine tip delivers on-point results with just one twist. With vegan, natural ingredients and caring vitamins.",https://www.labiosthetique.ca/en/brow-definer?childSku=4040218889994,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg/brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg,"34,00 CAD",new,in stock,4040218889994,La Biosthétique,"0,09 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"0,09 g",FALSE
La Biosthétique Eyeshadow Pen Macadamia,016966,Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend. Use as an eyeshadow or as a eyeliner.,https://www.labiosthetique.ca/en/eyeshadow-pen?childSku=4040218814293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg/eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg,"43,00 CAD",new,in stock,4040218814293,La Biosthétique,"1,4 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"1,4 g",FALSE
La Biosthétique Sensual Lipstick Brilliant B236 Sparkling Sorbet,019462,The lipstick contains high-quality conditioning oils for a film star pout.,https://www.labiosthetique.ca/en/sensual-lipstick-brilliant?childSku=4040218830293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg/sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg,"41,00 CAD",new,in stock,4040218830293,La Biosthétique,"3,3 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"3,3 g",FALSE
La Biosthétique Volume Strengthening Shampoo,120772,"This mild Strengthening Shampoo gently cleanses the hair, revitalises fine and thin hair, strengthens and seals the hair fibres and creates noticeably more thickness and volume.",https://www.labiosthetique.ca/en/volume-strengthening-shampoo?childSku=4040218843293,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg,"45,00 CAD",new,in stock,4040218843293,La Biosthétique,250 ml,Hair & scalp care,Health & Beauty > Personal Care > Hair Care,1 l,250 ml,FALSE
La Biosthétique Fresh Skin 2/1 Medium Rose,021015,Tinted moisturizing cream that combines freshness of a moisturizing day cream with the benefits of a delicate foundation.,https://www.labiosthetique.ca/en/fresh-skin?childSku=4040218845693,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/r/fresh_skin_2_1_medium_rose_247813_30ml_b1e7d35.jpg/fresh_skin_2_1_medium_rose_247813_30ml_b1e7d35.jpg,"62,00 CAD",new,in stock,4040218845693,La Biosthétique,30 ml,Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,30 ml,FALSE
La Biosthétique Dermosthétique Instant Lifting Eye Patch,002795,"Hydrogel eye pads with AGE³ complex to visibly aid the appearance of a revitalized, lifted eye area.",https://www.labiosthetique.ca/en/dermosthetique-age-3-instant-lifting-eye-patch,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg,"130,00 CAD",new,in stock,4040218846393,La Biosthétique,20 pcs,Skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,,20 pcs,FALSE
La Biosthétique Magic Shadow 51 Pale Mauve,016518,The powder eyeshadow contains powdery color pigments to magically give the eyelids enchanting accents.,https://www.labiosthetique.ca/en/magic-shadow?childSku=4040218866193,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg/magic_shadow_51_pale_mauve_354967_2_5g_26ea289.jpg,"43,00 CAD",new,in stock,4040218866193,La Biosthétique,"2,5 g",Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,"2,5 g",FALSE
La Biosthétique Perfect Skin 2/2 Medium Beige,021567,Mit hoher Pigmentdichte und starker Deckkraft gleicht die schmelzende Creme-Foundation Hautunebenheiten mühelos aus und sorgt für lang anhaltende Perfektion.,https://www.labiosthetique.ca/en/perfect-skin?childSku=4040218878493,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_skin_2_2_medium_beige_391647_30ml_c8fcf27.jpg/perfect_skin_2_2_medium_beige_391647_30ml_c8fcf27.jpg,"69,00 CAD",new,in stock,4040218878493,La Biosthétique,30 ml,Make-Up,Health & Beauty > Personal Care > Cosmetics > Makeup,,30 ml,FALSE
La Biosthétique Styling Brush,048796,"This hairbrush styles the hair and gives it more volume: Wooden brush with wild boar and nylon bristles for more shine, fast drying and more body",https://www.labiosthetique.ca/en/styling-brush,https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/styling_brush_342827_1St_ck_fbe586e.jpg/styling_brush_342827_1St_ck_fbe586e.jpg,"79,00 CAD",new,in stock,4040218781892,La Biosthétique,1 pcs,"Hair & scalp care,Styling","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Hair Care > Hair Styling Products",,1 pcs,FALSE
