title,locale,image_url,url,path,labio_identnummer,description,price,Grundpreis,Füllmenge,category,Anwendung,Inhaltsstoffe
Seifenschale,de,https://image.labiosthetique.com/i/square-1440/m2-product:seifenschale_280291_1St_ck_af203e0.jpg/feed-media.jpg,https://www.labiosthetique.de/seifenschale,/seifenschale,053518,Ein optisches Highlight für jedes Badezimmer: Diese schlicht designte Seifenschale sorgt in Kombination mit der herrlich duftenden Seife aus unserer SPA Serie für das gewisse Etwas,"12,00 €",,1 pcs,Hautpflege,,
Brow Definer B01 Dark Brown,de,https://image.labiosthetique.com/i/square-1440/m2-product:brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg/feed-media.jpg,https://www.labiosthetique.de/brow-definer?childSku=4040218889994,/brow-definer?childSku=4040218889994,017622,"Der stylish schlanke Brow Definer definiert mühelos präzise, natürlich wirkende Brauen, setzt einzelne Härchen und nuanciert Konturen. Die ultrafeine Spitze ist auf einen Dreh perfekt on point. Mit veganen, natürlichen Inhaltsstoffen und pflegenden Vitaminen.","24,50 €",,"0,09 g",Make-Up,"Die feine Spitze herausdrehen und kurze, haarähnliche Striche setzen für eine natürliche Definition der Brauen. Ein sanfter Druck genügt. Ein etwas stärkerer Druck intensiviert die Strichbreite und den Ausdruck. Mit dem integrierten Bürstchen verblenden und die Brauen in Form bringen – perfekt in Sekunden!","OCTYLDODECANOL, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED VEGETABLE OIL, CI 77499 (IRON OXIDES), ORYZA SATIVA (RICE) BRAN WAX, SYNTHETIC WAX, COPERNICIA CERIFERA CERA (CARNAUBA WAX), CI 77492 (IRON OXIDES), CI 77491 (IRON OXIDES), ETHYLCELLULOSE, MICA, TOCOPHEROL, ASCORBYL PALMITATE"
Eyeshadow Pen Macadamia,de,https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg/feed-media.jpg,https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218814293,/eyeshadow-pen?childSku=4040218814293,016966,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt","23,50 €",,"1,4 g",Make-Up,Den Eyeshadow Pen als Lidschatten auf das gesamte Oberlid oder als Eyeliner entlang des Wimpernkranzes auftragen. Mit den Fingern oder einem Pinsel lässt sich die Farbe auch einfach verblenden. Tipp: Für Smokey Eyes den Lidschatten am äußeren Lidrand intensiver auftragen und nach oben hin verblenden.,"ISODODECANE, MICA, SYNTHETIC WAX, ETHYLENE/PROPYLENE COPOLYMER, POLYMETHYLSILSESQUIOXANE, SILICA, POLYBUTENE, HYDROGENATED POLYDICYCLOPENTADIENE, CI 77891 (TITANIUM DIOXIDE), SUCROSE TETRASTEARATE TRIACETATE, COCO-CAPRYLATE/CAPRATE, ORYZA SATIVA (RICE) BRAN WAX, SYNTHETIC FLUORPHLOGOPITE, CI 77491 (IRON OXIDES), SYNTHETIC BEESWAX, HYDROGENATED CASTOR OIL, CI 77499 (IRON OXIDES), PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, CI 77492 (IRON OXIDES), TIN OXIDE"
Sensual Lipstick Brilliant B236 Sparkling Sorbet,de,https://image.labiosthetique.com/i/square-1440/m2-product:sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg/feed-media.jpg,https://www.labiosthetique.de/sensual-lipstick-brilliant?childSku=4040218830293,/sensual-lipstick-brilliant?childSku=4040218830293,019462,Der Lippenstift pflegt mit wertvollen Ölen und sorgt für einen filmreifen Kussmund.,"26,50 €",,"3,3 g",Make-Up,Sensual Lipstick Brilliant einfach auf die Lippen auftragen und schimmern. Ein Lippenpinsel sorgt für ein noch präziseres Ergebnis. Durch sanftes Nachziehen der Lippenkontur in einem farblich auf den Lippenstift abgestimmten Konturenstift lässt sich die brillante Farbwirkung intensivieren.,"POLYGLYCERYL-2 TRIISOSTEARATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, MICA, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, CI 77491 (IRON OXIDES), CANDELILLA CERA (EUPHORBIA CERIFERA WAX), CI 77891 (TITANIUM DIOXIDE), CI 15850 (RED 7 LAKE), ETHYL VANILLIN, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, SILICA, AROMA (FLAVOR), CI 77499 (IRON OXIDES), CI 42090 (BLUE 1 LAKE), ASCORBYL PALMITATE, TOCOPHEROL, DISTEARDIMONIUM HECTORITE, POLYHYDROXYSTEARIC ACID, BENZYL ALCOHOL, ALUMINUM CALCIUM SODIUM SILICATE, TIN OXIDE"
Volume Strengthening Shampoo,de,https://image.labiosthetique.com/i/square-1440/m2-product:volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/feed-media.jpg,https://www.labiosthetique.de/volume-strengthening-shampoo?childSku=4040218843293,/volume-strengthening-shampoo?childSku=4040218843293,120772,"Das milde Strengthening Shampoo reinigt die Haare sanft, vitalisiert feines, dünnes Haar, kräftigt und versiegelt die Haarfaser und schafft spürbar mehr Dichte und Volumen.","28,00 €","112,00 € / 1 l",250 ml,Haar- & Kopfhautpflege,Gleichmäßig im Haar und auf der Kopfhaut verteilen und einmassieren. Anschließend gründlich ausspülen.,"AQUA (WATER), SODIUM LAURETH SULFATE, SODIUM CHLORIDE, DISODIUM COCOAMPHODIACETATE , DISODIUM LAURETH SULFOSUCCINATE, PEG-7 GLYCERYL COCOATE, PENTYLENE GLYCOL, PHENOXYETHANOL, PARFUM (FRAGRANCE), PEG-40 HYDROGENATED CASTOR OIL, TRIDECETH-9, COCAMIDOPROPYL BETAINE, PEG-150 PENTAERYTHRITYL TETRASTEARATE, POLYQUATERNIUM-7, HYDROLYZED RICE BRAN PROTEIN, TROMETHAMINE, PROPYLENE GLYCOL, HYDROLYZED SOY PROTEIN, KAPPAPHYCUS ALVAREZII EXTRACT, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, LAMINARIA SACCHARINA EXTRACT, POLYSORBATE 20, BENZOIC ACID, ETHYLHEXYLGLYCERIN, SODIUM POLYPHOSPHATE, LACTIC ACID, HEXADECANOLACTONE, CITRIC ACID, GLYCINE, BENZYL SALICYLATE, ALPHA-ISOMETHYL IONONE, LIMONENE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, POTASSIUM SORBATE, LINALYL ACETATE, PLANKTON EXTRACT, TOCOPHEROL"
Dermosthétique Instant Lifting Eye Patch,de,https://image.labiosthetique.com/i/square-1440/m2-product:dermosth_tique_instant_lifting_eye_patch_247961_20St_ck_fcee1f3.jpg/feed-media.jpg,https://www.labiosthetique.de/dermosthetique-age-3-instant-lifting-eye-patch,/dermosthetique-age-3-instant-lifting-eye-patch,002795,"Dank seines einzigartigen Hydrogelsystems wirkt das kühlende Augenpad intensiv befeuchtend, sorgt für eine sofortige Beruhigung und sichtbare Glättung der Augenpartie.","72,50 €",,20 pcs,Hautpflege,AGE3 Complex Instant Lifting Hydrogel Eye Patch nach der Reinigung der Augenpartie anlegen und je nach Hautbedürfnis und Zeitkapital zwischen 15 und 30 Minuten einwirken lassen. Die Pads sind beidseitig anwendbar. Eine zwei- bis dreimal wöchentliche Anwendung wird empfohlen.,"AQUA (WATER), GLYCERIN, CHONDRUS CRISPUS (CARRAGEENAN) EXTRACT, PANTHENOL, GLUCOMANNAN, SUCROSE, CENTELLA ASIATICA LEAF EXTRACT*, ECTOIN, NIACINAMIDE, SALVIA MILTIORRHIZA LEAF EXTRACT, LACTIC ACID, CITRIC ACID, CAPRYLYL GLYCOL, XANTHAN GUM, SODIUM HYDROXIDE, P-ANISIC ACID, SODIUM LEVULINATE, PHENOXYETHANOL, BENZOIC ACID, DEHYDROACETIC ACID, SORBIC ACID"
Perfect Skin 2/2 Medium Beige,de,https://image.labiosthetique.com/i/square-1440/m2-product:perfect_skin_2_2_medium_beige_391647_30ml_c8fcf27.jpg/feed-media.jpg,https://www.labiosthetique.de/perfect-skin?childSku=4040218878493,/perfect-skin?childSku=4040218878493,021567,Mit hoher Pigmentdichte und starker Deckkraft gleicht die schmelzende Creme-Foundation Hautunebenheiten mühelos aus und sorgt für lang anhaltende Perfektion.,"40,00 €",,30 ml,Make-Up,"Perfect Skin mit einem Pinsel, einem Schwamm oder den Fingern sparsam von der Gesichtsmitte nach außen auftragen und gut verblenden. Bei Bedarf wiederholen.","CENTAUREA CYANUS FLOWER WATER, C9-12 ALKANE, CI 77891 (TITANIUM DIOXIDE), AQUA (WATER), POLYGLYCERYL-2 DIPOLYHYDROXYSTEARATE, UNDECANE, COCO-CAPRYLATE/CAPRATE, TRIHYDROXYSTEARIN, TRIDECANE, POLYGLYCERYL-3 DIISOSTEARATE, CI 77492 (IRON OXIDES), MAGNESIUM SULFATE, CI 77491 (IRON OXIDES), PERSEA GRATISSIMA (AVOCADO) OIL, POTASSIUM SORBATE, HYDROGENATED VEGETABLE OIL, CI 77499 (IRON OXIDES), SODIUM LEVULINATE, PARFUM (FRAGRANCE), BENZYL ALCOHOL, SODIUM BENZOATE, SODIUM PHYTATE, LACTIC ACID, VANILLIN, TOCOPHEROL, BALANITES ROXBURGHII SEED OIL, LINALOOL, CITRUS AURANTIUM PEEL OIL, LIMONENE, JUNIPERUS VIRGINIANA OIL, POGOSTEMON CABLIN OIL, ALCOHOL"
Homme Deodorant Spray,de,https://image.labiosthetique.com/i/square-1440/m2-product:homme_deodorant_spray_412830_100ml_14fbf86.jpg/feed-media.jpg,https://www.labiosthetique.de/homme-deodorant-spray,/homme-deodorant-spray,003996,"Das Antitranspirant für die tägliche Anwendung bietet bis zu 24 Stunden zuverlässigen Schutz vor Achselnässe und Körpergeruch. Es ist leistungsstark, hautverträglich und angenehm frisch.","21,00 €","210,00 € / 1 l",100 ml,Hautpflege,Nach dem Duschen oder Waschen aus ca. 20 cm Abstand 1–2 Sprühstöße in die trockenen Achseln geben. Nicht auf frisch rasierter Haut anwenden. Eine einmal tägliche Anwendung genügt.,"AQUA (WATER), ALCOHOL DENAT., ALUMINUM CHLOROHYDRATE, CAPRYLYL/CAPRYL GLUCOSIDE, PARFUM (FRAGRANCE), ETHYLHEXYLGLYCERIN, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, LINALOOL, LIMONENE, LINALYL ACETATE, PINENE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, CITRUS AURANTIUM PEEL OIL, GERANIOL, LAVANDULA OIL/EXTRACT, CITRUS LIMON PEEL OIL, TERPINEOL, COUMARIN, CITRAL, BETA-CARYOPHYLLENE, TOCOPHEROL"
Styling Brush,de,https://image.labiosthetique.com/i/square-1440/m2-product:styling_brush_342827_1St_ck_fbe586e.jpg/feed-media.jpg,https://www.labiosthetique.de/styling-brush,/styling-brush,048796,"Diese Haarbürste stylt, frisiert und sorgt für mehr Volumen: Holzbürste mit Wildschwein- und Nylonborsten für mehr Glanz, schnelles Trocknen und mehr Fülle","51,00 €",,1 pcs,"Haar- & Kopfhautpflege,Styling","Die Bürste zum Durchkämmen bei trockenem Haar verwenden oder für halbtrockenes Haar zum föhnen. Dabei die Bürste strähnenweise am Haaransatz ansetzen, unter Spannung halten und den Föhn auf den Bürstenkörper richten. Das Haar erst auf hoher Stufe und für einen längeren Halt anschließend kalt föhnen.",
Spa Wellness Soap,de,https://image.labiosthetique.com/i/square-1440/m2-product:spa_wellness_soap_329815_150g_f6c2129.jpg/feed-media.jpg,https://www.labiosthetique.de/spa-wellness-soap?childSku=4040218856392,/spa-wellness-soap?childSku=4040218856392,003912,Sanfte Wellness-Seife zur Reinigung von Gesicht und Körper.,"21,50 €","143,33 € / 1 kg",150 g,Hautpflege,Das Seifenstück in den feuchten Händen aufschäumen und den Schaum auf der angefeuchteten Haut von Gesicht und Körper verteilen. Mit warmem Wasser abspülen. Kann zur täglichen Reinigung verwendet werden.,"SODIUM PALMATE, SODIUM PALM KERNELATE, AQUA (WATER), PARFUM (FRAGRANCE), GLYCERIN, BUTYROSPERMUM PARKII (SHEA) BUTTER, SODIUM CHLORIDE, TETRASODIUM EDTA, TETRASODIUM ETIDRONATE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, LIMONENE, CITRUS LIMON (LEMON) PEEL OIL, CITRUS AURANTIUM PEEL OIL, PINENE, COUMARIN, CITRAL"
