title,locale,image_url,url,path,labio_identnummer,description,price,Grundpreis,Füllmenge,category,Anwendung,Inhaltsstoffe
Automatic Pencil for Lips LL37 Magnolia,de,https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll37_magnolia_407256_0_28g_fac08ab.jpg/feed-media.jpg,https://www.labiosthetique.de/automatic-pencil-for-lips?childSku=4040218879070,/automatic-pencil-for-lips?childSku=4040218879070,019004,"Der wasserfeste Lippenkonturen-Stift zaubert wunderschöne, definierte Lippen.","25,00 €",,"0,28 g",Make-Up,Den Stift aus der Automatikhülle herausdrehen und die Lippenkontur sanft nachziehen oder nuancieren. Achtung: der Stift kann nicht zurückgedreht werden!,"SYNTHETIC WAX, ISODODECANE, HYDROGENATED POLYCYCLOPENTADIENE, MICA, CI 77891 (TITANIUM DIOXIDE), CI 77491 (IRON OXIDES), POLYGLYCERYL-10 PENTAISOSTEARATE, HYDROGENATED POLY(C6-14 OLEFIN), HYDROGENATED POLYDECENE, HYDROGENATED POLYISOBUTENE, POLYBUTENE, DISTEARDIMONIUM HECTORITE, CI 75470 (CARMINE), PROPYLENE CARBONATE, POLYETHYLENE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, CI 77499 (IRON OXIDES)"
After Sun Hair & Body Shampoo,de,https://image.labiosthetique.com/i/square-1440/m2-product:after_sun_hair_body_shampoo_413072_250ml_0cb9e34.jpg/feed-media.jpg,https://www.labiosthetique.de/after-sun-hair-body-shampoo-2?childSku=4040218837469,/after-sun-hair-body-shampoo-2?childSku=4040218837469,120809,"Das sanfte Shampoo reinigt Haare und Körper nach der Sonne, entfernt Meer- und Chlorwasserrückstände und schützt das Haar, damit es länger seine Farbbrillanz bewahrt.","24,50 €","98,00 € / 1 l",250 ml,"Hautpflege,Haar- & Kopfhautpflege","Gleichmäßig im feuchten Haar sowie auf Kopf- und Körperhaut verteilen und aufschäumen. Die Kopfhaut leicht massieren, die Haare behutsam kneten, dann gründlich mit Wasser abspülen.","AQUA (WATER), SODIUM LAURETH SULFATE, COCAMIDOPROPYL BETAINE, MARIS SAL (SEA SALT), SODIUM BENZOATE, POLYQUATERNIUM-10, PANTHENOL, SODIUM CHLORIDE, PARFUM (FRAGRANCE), TROMETHAMINE, BENZOIC ACID, LACTIC ACID, BUTYLENE GLYCOL, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, CITRIC ACID, HELIANTHUS ANNUUS (SUNFLOWER) SEED EXTRACT, BENZYL SALICYLATE, LIMONENE, BENZYL ALCOHOL, SODIUM ACETATE, ISOPROPYL ALCOHOL"
Spa Refreshing Hand Wash,de,https://image.labiosthetique.com/i/square-1440/m2-product:spa_refreshing_hand_wash_329827_250ml_94b25f4.jpg/feed-media.jpg,https://www.labiosthetique.de/spa-refreshing-hand-wash,/spa-refreshing-hand-wash,003953,Erfrischendes Reinigungsgel für die Hände,"15,50 €","62,00 € / 1 l",250 ml,Hautpflege,"Zur gründlichen Handwäsche 1-2 Pumpstöße auf die nassen Hände geben, rund 20 Sekunden lang aufschäumen und mit warmem Wasser abspülen.","AQUA (WATER), SODIUM LAURETH SULFATE, COCO-BETAINE, DISODIUM COCOAMPHODIACETATE , BETAINE, MARIS SAL (SEA SALT), LAMINARIA DIGITATA EXTRACT, CHLORELLA VULGARIS EXTRACT, SACCHARIDE ISOMERATE, MARIS AQUA (SEA WATER), GLYCERIN, ETHYLHEXYLGLYCERIN, SODIUM BENZOATE, BENZOIC ACID, PHENOXYETHANOL, SODIUM CHLORIDE, PARFUM (FRAGRANCE), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, CITRUS LIMON (LEMON) PEEL OIL, LIMONENE, BENZYL SALICYLATE, HEXADECANOLACTONE, ALPHA-ISOMETHYL IONONE"
Molding Cream,de,https://image.labiosthetique.com/i/square-1440/m2-product:molding_cream_368335_75ml_0d9b0d4.jpg/feed-media.jpg,https://www.labiosthetique.de/molding-cream-1,/molding-cream-1,110237,"Die Modelliercreme bringt glattes wie lockiges Haar geschmeidig in Form und gibt leichten, geschmeidigen Halt.","27,00 €","360,00 € / 1 l",75 ml,Styling,"Etwas Molding Cream zwischen den Handflächen verreiben, gleichmäßig im feuchten oder trockenen Haar verteilen und das Haar in Form bringen. Zum Umformen oder Auffrischen des Looks das Haar mit dem Föhn erwärmen, umstylen und auskühlen lassen.","AQUA (WATER), GLYCERYL STEARATE, PROPYLENE GLYCOL, OLETH-20, OZOKERITE, PARAFFINUM LIQUIDUM (MINERAL OIL), OLETH-3, OLETH-5, OLETH-10 PHOSPHATE, OLETH-3 PHOSPHATE, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, VP/VA COPOLYMER, TROMETHAMINE, KAOLIN, BENZOIC ACID, PARFUM (FRAGRANCE), SODIUM ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, POLYISOBUTENE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, PEG-45M, SORBITAN OLEATE, HEXAMETHYLINDANOPYRAN, CAPRYLYL/CAPRYL GLUCOSIDE, CARAMEL, LIMONENE, LINALYL ACETATE, MALTODEXTRIN, PINENE, LINALOOL, CITRONELLOL, CITRUS LIMON PEEL OIL, GERANIOL, HYDROGEN PEROXIDE, CITRAL"
Silky Mineral Powder 2/1 Medium Rose ,de,https://image.labiosthetique.com/i/square-1440/m2-product:silky_mineral_powder_2_1_medium_rose_247799_12g_f2e7164.jpg/feed-media.jpg,https://www.labiosthetique.de/silky-mineral-powder?childSku=4040218840568,/silky-mineral-powder?childSku=4040218840568,018271,"Das lose Mineral-Puder fixiert das Make-up und zaubert als Puder mit puren Mineral-Pigmenten eine Haut, so rein, frisch und luxuriös wie reinste Seide.","31,00 €",,12 g,Make-Up,Zum Fixieren und zur Verbesserung der Haltbarkeit des Make-ups: Silky Mineral Powder mit der flauschigen Quaste hauchzart auf das Gesicht stäuben. Für ein deckenderes Ergebnis: Silky Mineral Powder mit dem La Biosthétique Kabuki-Pinsel durch leichtes Eindrehen in Kreisbewegungen in die Haut einarbeiten.,"MICA, ZINC STEARATE, KAOLIN, BORON NITRIDE, SYNTHETIC FLUORPHLOGOPITE, MAGNESIUM MYRISTATE, CI 77492 (IRON OXIDES), CI 77491 (IRON OXIDES), DEHYDROACETIC ACID, CI 77499 (IRON OXIDES), STEARIC ACID"
Taming Fluid,de,https://image.labiosthetique.com/i/square-1440/m2-product:taming_fluid_398090_150ml_d218c14.jpg/feed-media.jpg,https://www.labiosthetique.de/taming-fluid,/taming-fluid,110782,"Das thermoaktivierte Fluid schützt beim Hitzestyling, bändigt das Haar und glättet es langanhaltend.","25,50 €","170,00 € / 1 l",150 ml,Styling,Taming Fluid gleichmäßig im feuchten Haar verteilen. Das Haar glatt föhnen und bei Bedarf mit dem Glätteisen nachbehandeln.,"AQUA (WATER), ALCOHOL DENAT., GLYCERIN, POLYQUATERNIUM-28, PROPYLENE GLYCOL, VP/VA COPOLYMER, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, PEG-40 HYDROGENATED CASTOR OIL, PANTHENOL, PEG-75 LANOLIN, HYDROLYZED WHEAT PROTEIN, PARFUM (FRAGRANCE), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, SILK AMINO ACIDS, PHENOXYETHANOL, CAPRYLYL GLYCOL, HEXAMETHYLINDANOPYRAN, LIMONENE, CITRIC ACID, LINALYL ACETATE, HYDROLYZED WHEAT PROTEIN PG-PROPYL SILANETRIOL , PINENE, LINALOOL, CITRONELLOL, IMIDAZOLIDINYL UREA, HYDROGEN PEROXIDE, CITRUS LIMON PEEL OIL, SODIUM BENZOATE, BHT"
Glossing Spray,de,https://image.labiosthetique.com/i/square-1440/m2-product:glossing_spray_398126_150ml_3fc88bf.jpg/feed-media.jpg,https://www.labiosthetique.de/glossing-spray-1,/glossing-spray-1,110355,"Das brillante Red-Carpet-Finish für jede Länge und jeden Look: Glossing Spray sorgt für lang anhaltenden, schimmernden Glanz und intensive Lichtreflexe ganz ohne Silikone.","32,00 €","213,33 € / 1 l",150 ml,Styling,Glossing Spray aus 20-30 cm Entfernung sparsam aufs trockene Haar sprühen. Bei Bedarf wiederholen.,"BUTANE, HEPTYL UNDECYLENATE, NEOPENTYL GLYCOL DIHEPTANOATE, DIHEPTYL SUCCINATE, ALCOHOL DENAT., ORBIGNYA SPECIOSA KERNEL OIL, PARFUM (FRAGRANCE), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, PROPYLENE GLYCOL, ASTROCARYUM MURUMURU SEED BUTTER, CAPRYLOYL GLYCERIN/SEBACIC ACID COPOLYMER, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, LIMONENE, LINALOOL, LINALYL ACETATE, TERPINEOL, PINENE, TOCOPHEROL"
Dermosthétique Peel³ Complex Deep Purifying Mask,de,https://image.labiosthetique.com/i/square-1440/m2-product:dermosth_tique_peel_complex_deep_purifying_mask_266957_75ml_f8a9a1d.jpg/feed-media.jpg,https://www.labiosthetique.de/dermosthetique-peel-complex-deep-purifying-mask,/dermosthetique-peel-complex-deep-purifying-mask,002876,"Mit dreifacher Peelingwirkung und doch besonders sanft, verfeinert die cremige Maske das Hautbild sofort und nachhaltig, reinigt tiefenwirksam und unterstützt die natürliche Erneuerung der Haut.","39,00 €","520,00 € / 1 l",75 ml,Hautpflege,Ein- bis zweimal wöchentlich unter Aussparung der Augen- und Mundpartie auf die gereinigte Gesichtshaut auftragen. Maximal 20 Minuten einwirken lassen und mit warmem Wasser abnehmen. Eine sanfte Massage unterstützt die peelende Wirkung.,"AQUA (WATER), SORBITOL, CETEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, ISOPROPYL PALMITATE, VACCINIUM MACROCARPON (CRANBERRY) FRUIT POWDER, LACTOBACILLUS/PUNICA GRANATUM FRUIT FERMENT EXTRACT, CETEARYL GLUCOSIDE, CETYL PALMITATE, BAMBUSA ARUNDINACEA STEM EXTRACT, COCO-CAPRYLATE/CAPRATE, HYDROGENATED COCO-GLYCERIDES, SODIUM STEAROYL GLUTAMATE, PHENOXYETHANOL, PARFUM (FRAGRANCE), GLYCOLIC ACID, LACTIC ACID, SODIUM MAGNESIUM SILICATE, CITRIC ACID, BENZOIC ACID, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, DEHYDROACETIC ACID, XANTHAN GUM, TOCOPHEROL"
Bürste Denman D83 Large,de,https://image.labiosthetique.com/i/square-1440/m2-product:b_rste_denman_d83_large_247423_1St_ck_5a70155.jpg/feed-media.jpg,https://www.labiosthetique.de/buerste-denman-d83-large,/buerste-denman-d83-large,030312,Die Kulthaarbürste mit Kunststoffborsten und haarschonenden Noppen: ganz sanft zur Kopfhaut und schonend zum Haar.,"19,00 €",,1 pcs,"Haar- & Kopfhautpflege,Styling","Die Bürste eignet sich, um trockenes wie nasses Haar zu kämmen sowie auch zum Trocknen der Haare: Dafür die Bürste am Haaransatz ansetzen, unter Spannung halten und den Föhn auf den Bürstenkörper richten. Das Haar erst auf hoher Stufe und für einen längeren Halt anschließend kalt föhnen.",
Long Hair Refreshing Dry Shampoo,de,https://image.labiosthetique.com/i/square-1440/m2-product:long_hair_refreshing_dry_shampoo_247295_200ml_6c349ed.jpg/feed-media.jpg,https://www.labiosthetique.de/long-hair-refreshing-dry-shampoo,/long-hair-refreshing-dry-shampoo,120989,"Mit feinstem Reisstärkepuder absorbiert Refresh Dry Shampoo überschüssige Öle. Ansätze und Längen werden auf natürliche Weise aufgefrischt. Das Haar duftet, wirkt locker voluminös und wie frisch gewaschen.","31,00 €","155,00 € / 1 l",200 ml,Haar- & Kopfhautpflege,"Vor dem Gebrauch gut schütteln (bei intensiver Anwendung während des Vorgangs erneut schütteln). Gleichmäßig aus ca. 20 – 30 cm auf den Haaransatz oder strähnige Längen sprühen. Falls erforderlich, einzelne Partien anheben und darunter sprühen. Kurz trocknen lassen, dann den Puder bei Bedarf mit einer Bürste ins Haar einarbeiten. Bei stark öligem Haar den Vorgang wiederholen.","BUTANE, PROPANE, ALCOHOL DENAT., ISOBUTANE, ORYZA SATIVA (RICE) STARCH, PARFUM (FRAGRANCE), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, HEXAMETHYLINDANOPYRAN"
Natural Skin 5/5 Deep Brown,de,https://image.labiosthetique.com/i/square-1440/m2-product:natural_skin_5_5_deep_brown_391035_30ml_a17ad15.jpg/feed-media.jpg,https://www.labiosthetique.de/natural-skin?childSku=4040218842067,/natural-skin?childSku=4040218842067,021731,"Mit mittlerer Deckkraft, feuchtigkeitsspendenden und pflegenden Komponenten schafft die zarte Foundation einen seidig glatten, natürlich ebenmäßigen Teint.","42,50 €",,30 ml,Make-Up,Nach der Gesichtspflege mit den Fingern oder mit einem Make-up-Schwämmchen oder -Pinsel auftragen und verblenden.,"AQUA (WATER), CI 77891 (TITANIUM DIOXIDE), CAPRYLIC/CAPRIC TRIGLYCERIDE, ETHYLHEXYL SALICYLATE, PENTYLENE GLYCOL, SILICA, ALCOHOL DENAT., SQUALANE, STEARIC ACID, PALMITIC ACID, CI 77492 (IRON OXIDES), GLYCOL STEARATE, MYRISTYL MYRISTATE, CI 77491 (IRON OXIDES), CETEARYL ALCOHOL, SODIUM CETEARYL SULFATE, ETHYLHEXYL PALMITATE, TOCOPHERYL ACETATE, XANTHAN GUM, CI 77499 (IRON OXIDES), PARFUM (FRAGRANCE), HYDROLYZED JOJOBA ESTERS, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, MYRISTIC ACID, SODIUM HYDROXIDE, ARACHIDIC ACID, TOCOPHEROL, JOJOBA ESTERS, CITRONELLOL, TRIHYDROXYSTEARIN, DIMETHYL PHENETHYL ACETATE, ALUMINA, MAGNESIUM OXIDE, TERPINEOL, VANILLIN, HEXYL CINNAMAL, ALPHA-ISOMETHYL IONONE, SODIUM HYALURONATE, GLUCOMANNAN"
Revitalising Hydro Toner,de,https://image.labiosthetique.com/i/square-1440/m2-product:revitalising_hydro_toner_382732_250ml_e65b433.jpg/feed-media.jpg,https://www.labiosthetique.de/revitalising-hydro-toner,/revitalising-hydro-toner,004307,"Die vitalisierende Formel mit hautidentischen Feuchtigkeitsbausteinen entspannt die Haut nach der Reinigung, polstert sie auf und bildet die ideale Grundlage für die nachfolgenden Pflegeschritte. Für alle Liebhaber von Visalix Jeunesse wird dies Ihr neues Lieblingsprodukt.","36,50 €","146,00 € / 1 l",250 ml,Hautpflege,"Nach der Reinigung mit Rich Micellar Cleansing Cream auf Gesicht, Hals und Dekolleté auftragen und gleich anschließend mit der gewohnten Pflege fortfahren. Überschüssigen Toner nicht entfernen, sondern mit der nachfolgenden Pflege in die Haut einwirken lassen.","AQUA (WATER), ALCOHOL DENAT., GLYCERIN, SORBITOL, PANTHENOL, SODIUM GLUCONATE, SODIUM LACTATE, SACCHARIDE ISOMERATE, GLUCOMANNAN, CHLORELLA VULGARIS/LUPINUS ALBUS PROTEIN FERMENT, CITRIC ACID, SODIUM CITRATE, SODIUM BENZOATE, POTASSIUM SORBATE, BENZOIC ACID"
Homme Energising Scalp Tonic,de,https://image.labiosthetique.com/i/square-1440/m2-product:homme_energising_scalp_tonic_412815_150ml_edb4919.jpg/feed-media.jpg,https://www.labiosthetique.de/homme-energising-scalp-tonic,/homme-energising-scalp-tonic,003315,"Die kühlende Lotion belebt die Kopfhaut, aktiviert ihre natürlichen Funktionen und unterstützt so Haarwachstum und Haardichte – für ein frisches, vitales Kopfhautgefühl.","21,00 €","140,00 € / 1 l",150 ml,Haar- & Kopfhautpflege,Nach der Haarwäsche scheitelweise auf die Kopfhaut applizieren. Nicht ausspülen.,"ALCOHOL DENAT., AQUA (WATER), CAFFEINE, PARFUM (FRAGRANCE), MENTHOL, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, MENTHYL LACTATE, PENTYLENE GLYCOL, MAGNESIUM ASPARTATE, ZINC GLUCONATE, LINALOOL, LIMONENE, GLYCERIN, LINALYL ACETATE, PINENE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, CITRUS AURANTIUM PEEL OIL, GERANIOL, COPPER GLUCONATE, LAVANDULA OIL/EXTRACT, CITRUS LIMON PEEL OIL, TERPINEOL, COUMARIN, CITRAL, BETA-CARYOPHYLLENE, PHENOXYETHANOL, SODIUM CARRAGEENAN, JANIA RUBENS EXTRACT, ETHYLHEXYLGLYCERIN"
Spa Relaxing Body Wash ,de,https://image.labiosthetique.com/i/square-1440/m2-product:spa_relaxing_body_wash_329695_250ml_ad112a5.jpg/feed-media.jpg,https://www.labiosthetique.de/spa-relaxing-body-wash?childSku=4040218855166,/spa-relaxing-body-wash?childSku=4040218855166,002246,Entspannende Reinigung für den Körper,"25,00 €","100,00 € / 1 l",250 ml,Hautpflege,"Mit den Händen oder einem Waschhandschuh auf der angefeuchteten Haut verteilen, aufschäumen und mit warmem Wasser abspülen.","AQUA (WATER), LAURYL GLUCOSIDE , SODIUM LAURETH SULFATE, SODIUM LAUROYL OAT AMINO ACIDS, PARFUM (FRAGRANCE), BETAINE, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, FRUCTOOLIGOSACCHARIDES, ALPHA-GLUCAN OLIGOSACCHARIDE, BETA VULGARIS (BEET) ROOT EXTRACT, INULIN, MARIS SAL (SEA SALT), PHENOXYETHANOL, SODIUM BENZOATE, SODIUM GLUCONATE, SODIUM LACTATE, COCO-GLUCOSIDE , GLYCERYL OLEATE, LACTIC ACID, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, TROMETHAMINE, LIMONENE, SODIUM CITRATE, BENZOIC ACID, CITRUS LIMON PEEL OIL, SODIUM POLYPHOSPHATE, CITRUS AURANTIUM PEEL OIL, DEHYDROACETIC ACID, CITRIC ACID, POTASSIUM LACTATE, TETRASODIUM EDTA, PINENE, CITRAL, ETHYLHEXYLGLYCERIN, TOCOPHEROL, HYDROGENATED VEGETABLE GLYCERIDES CITRATE, LECITHIN, ASCORBYL PALMITATE"
Sensual Lipstick Brilliant B242 Choco Sorbet,de,https://image.labiosthetique.com/i/square-1440/m2-product:sensual_lipstick_brilliant_b242_choco_sorbet_378673_3_3g_c77b7fc.jpg/feed-media.jpg,https://www.labiosthetique.de/sensual-lipstick-brilliant?childSku=4040218869866,/sensual-lipstick-brilliant?childSku=4040218869866,019955,Der Lippenstift pflegt mit wertvollen Ölen und sorgt für einen filmreifen Kussmund.,"26,50 €",,"3,3 g",Make-Up,Sensual Lipstick Brilliant einfach auf die Lippen auftragen und schimmern. Ein Lippenpinsel sorgt für ein noch präziseres Ergebnis. Durch sanftes Nachziehen der Lippenkontur in einem farblich auf den Lippenstift abgestimmten Konturenstift lässt sich die brillante Farbwirkung intensivieren.,"POLYGLYCERYL-2 TRIISOSTEARATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, MICA, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, CANDELILLA CERA (EUPHORBIA CERIFERA WAX), CI 77491 (IRON OXIDES), CI 77891 (TITANIUM DIOXIDE), CI 77499 (IRON OXIDES), ETHYL VANILLIN, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, AROMA (FLAVOR), SILICA, ASCORBYL PALMITATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, TOCOPHEROL, CI 77492 (IRON OXIDES), DISTEARDIMONIUM HECTORITE, POLYHYDROXYSTEARIC ACID"
Sensual Lipstick Glossy G334 Lavender Pink,de,https://image.labiosthetique.com/i/square-1440/m2-product:sensual_lipstick_glossy_g334_lavender_pink_388835_3_3g_2815ba7.jpg/feed-media.jpg,https://www.labiosthetique.de/sensual-lipstick-glossy?childSku=4040218875966,/sensual-lipstick-glossy?childSku=4040218875966,019202,Der Gloss-Lippenstift pflegt mit wertvollen Ölen und sorgt für einen hauchzarten Lip-Catcher.,"26,50 €","8,03 € / 1 g","3,3 g",Make-Up,Sensual Lipstick Glossy einfach auf die Lippen auftragen und glänzen. Durch sanftes Nachziehen der Lippenkontur in einem farblich auf den Gloss-Lippenstift abgestimmten Konturenstift lässt sich die zarte Farbwirkung intensivieren.,"CAPRYLIC/CAPRIC TRIGLYCERIDE, POLYGLYCERYL-2 TRIISOSTEARATE, CANDELILLA CERA (EUPHORBIA CERIFERA WAX), BIS-DIGLYCERYL POLYACYLADIPATE-2, SYNTHETIC WAX, CI 77891 (TITANIUM DIOXIDE), ETHYLENE/PROPYLENE COPOLYMER, CI 77492 (IRON OXIDES), CI 15850 (RED 7 LAKE), AROMA (FLAVOR), SILICA, CI 42090 (BLUE 1 LAKE), LECITHIN, TOCOPHEROL, ASCORBYL PALMITATE, BENZYL ALCOHOL, CITRIC ACID, DISTEARDIMONIUM HECTORITE, POLYHYDROXYSTEARIC ACID, CALCIUM SODIUM BOROSILICATE, TIN OXIDE"
Homme Eau de Toilette,de,https://image.labiosthetique.com/i/square-1440/m2-product:homme_eau_de_toilette_409748_50ml_eefda43.jpg/feed-media.jpg,https://www.labiosthetique.de/eau-de-toilette-homme-1,/eau-de-toilette-homme-1,003775,"Das maskuline Eau de Toilette ist ein faszinierendes Zusammenspiel aus kraftvollen, weichen und erdigen Duftkomponenten.","68,50 €","1.370,00 € / 1 l",50 ml,Hautpflege,"Aus etwa 20 cm Entfernung auf die Pulspunkte an Handgelenken, Hals oder Nacken sprühen.","ALCOHOL DENAT. , PARFUM (FRAGRANCE), AQUA (WATER), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, LIMONENE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, LINALYL ACETATE, CITRUS LIMON (LEMON) PEEL OIL, PINENE, BENZYL SALICYLATE, LINALOOL, CITRAL, COUMARIN, BETA-CARYOPHYLLENE, TERPINEOL, HEXADECANOLACTONE, BENZYL BENZOATE, GERANYL ACETATE, TERPINOLENE, CITRUS AURANTIUM PEEL OIL, ROSE KETONES, ALPHA-TERPINENE, GERANIOL, CITRONELLOL, SCLAREOL, ETHYLHEXYL METHOXYCINNAMATE, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL SALICYLATE"
Brilliant Nail Finish,de,https://image.labiosthetique.com/i/square-1440/m2-product:brilliant_nail_finish_325345_9ml_1bbfb3c.jpg/feed-media.jpg,https://www.labiosthetique.de/brilliant-nail-finish,/brilliant-nail-finish,020999,Brilliant Nail Finish lässt Nägel schneller trocknen und verpasst Händen wie Füßen ein perfektes Finish.,"18,50 €",,9 ml,Make-Up,Nach dem Auftragen und Antrocknen von Nagellack bzw. Top Coat den Pinsel mit Brilliant Nail Finish ganz leicht und flach auf den Nagel auflegen. Verteilt sich sofort über den ganzen Nagel. Fertig ist der Lack.,"C11-14 ISOPARAFFIN, PARAFFINUM LIQUIDUM (MINERAL OIL), DISILOXANE"
Frizz Control Smoothing Shampoo,de,https://image.labiosthetique.com/i/square-1440/m2-product:frizz_control_smoothing_shampoo_247253_250ml_9237cf5.jpg/feed-media.jpg,https://www.labiosthetique.de/frizz-control-smoothing-shampoo,/frizz-control-smoothing-shampoo,120601,"Smoothing Shampoo beruhigt unruhiges Haar bereits während der Wäsche, bändigt seine Textur und schützt vor äußeren Einflüssen.","26,50 €","106,00 € / 1 l",250 ml,Haar- & Kopfhautpflege,Smoothing Shampoo gleichmäßig im Haar und auf der Kopfhaut verteilen und sanft einmassieren. Anschließend gründlich ausspülen.,"AQUA (WATER), SODIUM LAURETH SULFATE, DISODIUM COCOAMPHODIACETATE , SODIUM CHLORIDE, GLYCERIN, PEG-40 HYDROGENATED CASTOR OIL, PROPYLENE GLYCOL, PARFUM (FRAGRANCE), POLYQUATERNIUM-10, LAURETH-3, SODIUM BENZOATE, PEG-7 GLYCERYL COCOATE, PANTHENOL, PEG-150 PENTAERYTHRITYL TETRASTEARATE, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, BENZOIC ACID, HEXAMETHYLINDANOPYRAN, POLYSORBATE 20, BENZYL SALICYLATE, LIMONENE, ALPHA-ISOMETHYL IONONE, CITRONELLOL, SODIUM ACETATE, CITRIC ACID, ISOPROPYL ALCOHOL"
Colour Protection Shine Restoring Conditioner,de,https://image.labiosthetique.com/i/square-1440/m2-product:colour_protection_shine_restoring_conditioner_247173_150ml_5fa29be.jpg/feed-media.jpg,https://www.labiosthetique.de/colour-protection-shine-restoring-conditioner?childSku=4040218849264,/colour-protection-shine-restoring-conditioner?childSku=4040218849264,120822,"Ohne zu beschweren, entwirrt und pflegt der Conditioner chemisch behandeltes Haar, schließt Farbpigmente im Haarinneren ein, schützt vor negativen Umwelteinflüssen und sorgt für Geschmeidigkeit, Farbbrillanz und Glanz.","30,50 €","203,33 € / 1 l",150 ml,Haar- & Kopfhautpflege,Nach der Wäsche im feuchten Haar verteilen und 2-5 Minuten einwirken lassen. Anschließend gut ausspülen.,"AQUA (WATER), CETEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, SQUALANE, BEHENTRIMONIUM METHOSULFATE, CETRIMONIUM CHLORIDE, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, PARFUM (FRAGRANCE), BUTYLENE GLYCOL, CETEARYL ISONONANOATE, HYDROXYPROPYL OXIDIZED STARCH PG-TRIMONIUM CHLORIDE, TRITICUM VULGARE GERM OIL, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, STARCH HYDROXYPROPYLTRIMONIUM CHLORIDE, LINOLEIC ACID, PANTHENOL, LACTIC ACID, SODIUM LACTATE, LIMONENE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, LINALOOL, SODIUM CHLORIDE, UREA, TRITICUM VULGARE (WHEAT) BRAN EXTRACT, TRITICUM VULGARE GERM EXTRACT, CITRIC ACID, CRAMBE MARITIMA LEAF EXTRACT, LINALYL ACETATE, GLYCERIN, CAMELLIA OLEIFERA SEED OIL, LEVULINIC ACID, TOCOPHERYL ACETATE, P-ANISIC ACID, TOCOPHEROL"
Automatic Pencil for Lips LL38 Pecan,de,https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll38_pecan_407259_0_35g_2e3422c.jpg/feed-media.jpg,https://www.labiosthetique.de/automatic-pencil-for-lips?childSku=4040218864564,/automatic-pencil-for-lips?childSku=4040218864564,019036,"Der wasserfeste Lippenkonturen-Stift zaubert wunderschöne, definierte Lippen.","25,00 €",,"0,35 g",Make-Up,Den Stift aus der Automatikhülle herausdrehen und die Lippenkontur sanft nachziehen oder nuancieren. Achtung: der Stift kann nicht zurückgedreht werden!,"SYNTHETIC WAX, ISODODECANE, HYDROGENATED POLYCYCLOPENTADIENE, MICA, CI 77891 (TITANIUM DIOXIDE), CI 77491 (IRON OXIDES), POLYGLYCERYL-10 PENTAISOSTEARATE, HYDROGENATED POLY(C6-14 OLEFIN), HYDROGENATED POLYDECENE, HYDROGENATED POLYISOBUTENE, POLYBUTENE, DISTEARDIMONIUM HECTORITE, CI 75470 (CARMINE), PROPYLENE CARBONATE, POLYETHYLENE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, CI 77499 (IRON OXIDES)"
