title,locale,image_url,url,path,labio_identnummer,description,price,Grundpreis,Füllmenge,category,Anwendung,Inhaltsstoffe,Siliconfree,Vegan
Eyeshadow Pen Smoky Topaz,en,https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/feed-media.jpg,https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218791099,/eyeshadow-pen?childSku=4040218791099,016399,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,"23,50 €",,"1,4 g",Make-Up,Apply the Eyeshadow Pen as an eyeshadow to the whole top lid or as an eyeliner along the lashes. The colour is easy to blend with the fingers or a brush.,"ISODODECANE, MICA, SYNTHETIC WAX, ETHYLENE/PROPYLENE COPOLYMER, SILICA, POLYMETHYLSILSESQUIOXANE, POLYBUTENE, HYDROGENATED POLYDICYCLOPENTADIENE, CI 77499 (IRON OXIDES), CI 77000 (ALUMINUM POWDER), CI 77891 (TITANIUM DIOXIDE), SUCROSE TETRASTEARATE TRIACETATE, CI 77491 (IRON OXIDES), COCO-CAPRYLATE/CAPRATE, ORYZA SATIVA (RICE) BRAN WAX, SYNTHETIC BEESWAX, HYDROGENATED CASTOR OIL, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, TIN OXIDE",no,no
Eyeshadow Pen Cloudy Lilac,en,https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/feed-media.jpg,https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218829099,/eyeshadow-pen?childSku=4040218829099,016301,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,"23,50 €",,"1,4 g",Make-Up,Apply the Eyeshadow Pen as an eyeshadow to the whole top lid or as an eyeliner along the lashes. The colour is easy to blend with the fingers or a brush.,"DIMETHICONE, MICA, SILICA, ISOAMYL COCOATE, SUCROSE TETRASTEARATE TRIACETATE, CI 77499 (IRON OXIDES), POLYBUTENE, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED JOJOBA OIL, SYNTHETIC WAX, TRIMETHYLSILOXYSILICATE/DIMETHICONOL CROSSPOLYMER, CI 77491 (IRON OXIDES), GLYCERYL CAPRYLATE, SILICA SILYLATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, ETHYLENE/METHACRYLATE COPOLYMER, TIN OXIDE, ISOPROPYL TITANIUM TRIISOSTEARATE",no,yes
Spa Wellness Hair Shampoo,en,https://image.labiosthetique.com/i/square-1440/m2-product:spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/feed-media.jpg,https://www.labiosthetique.de/spa-wellness-hair-shampoo?childSku=4040218855999,/spa-wellness-hair-shampoo?childSku=4040218855999,120725,Wellness shampoo for daily hair-washing.,"25,00 €","100,00 € / 1 l",250 ml,Haar- & Kopfhautpflege,Distribute a hazelnut-sized amount into damp hair and lather while massaging the scalp with your fingertips. Rinse out with plenty of warm water.,"AQUA (WATER), LAURYL GLUCOSIDE , SODIUM LAURETH SULFATE, SODIUM LAUROYL OAT AMINO ACIDS, PARFUM (FRAGRANCE), BETAINE, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, FRUCTOOLIGOSACCHARIDES, ALPHA-GLUCAN OLIGOSACCHARIDE, BETA VULGARIS (BEET) ROOT EXTRACT, INULIN, MARIS SAL (SEA SALT), PHENOXYETHANOL, SODIUM BENZOATE, SODIUM GLUCONATE, SODIUM LACTATE, COCO-GLUCOSIDE , GLYCERYL OLEATE, LACTIC ACID, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, TROMETHAMINE, LIMONENE, SODIUM CITRATE, BENZOIC ACID, CITRUS LIMON PEEL OIL, SODIUM POLYPHOSPHATE, CITRUS AURANTIUM PEEL OIL, DEHYDROACETIC ACID, CITRIC ACID, POTASSIUM LACTATE, TETRASODIUM EDTA, PINENE, CITRAL, ETHYLHEXYLGLYCERIN, TOCOPHEROL, HYDROGENATED VEGETABLE GLYCERIDES CITRATE, LECITHIN, ASCORBYL PALMITATE",yes,no
Automatic Pencil for Lips LL32 Rosewood,en,https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/feed-media.jpg,https://www.labiosthetique.de/automatic-pencil-for-lips?childSku=4040218888799,/automatic-pencil-for-lips?childSku=4040218888799,019055,The waterproof lip liner creates wonderfully defined lips.,"25,00 €",,"0,35 g",Make-Up,Twist the liner out of the automatic case and gently outline or shade the lip line. Caution: you cannot twist the liner back into the case!,"C9-12 ALKANE, MICA, BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE, SUCROSE TETRASTEARATE TRIACETATE, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED CASTOR OIL, SYNTHETIC WAX, CI 77491 (IRON OXIDES), COPERNICIA CERIFERA CERA (CARNAUBA WAX), POLYGLYCERYL-4 DIISOSTEARATE/POLYHYDROXYSTEARATE/SEBACATE, CI 77492 (IRON OXIDES), CI 77499 (IRON OXIDES), CI 15985 (YELLOW 6 LAKE), DISTEARDIMONIUM HECTORITE, CI 15850 (RED 7), TOCOPHEROL, PROPYLENE CARBONATE",yes,yes
Pencil for Eyes Violet Silk,en,https://image.labiosthetique.com/i/square-1440/m2-product:pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/feed-media.jpg,https://www.labiosthetique.de/pencil-for-eyes?childSku=4040218875898,/pencil-for-eyes?childSku=4040218875898,017524,"The wonderfully soft eye pencil features a uniquely silky texture for high-precision application and naturally wide awake, beautifully radiant eyes","22,00 €","20,75 € / 1 g","1,06 g",Make-Up,Gently apply Pencil for Eyes to the inside edge of your eyes or on the bottom and/or top lashes.,"HYDROGENATED JOJOBA OIL, CI 77007 (ULTRAMARINES), CAPRYLIC/CAPRIC TRIGLYCERIDE, HYDROGENATED VEGETABLE OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, BUTYROSPERMUM PARKII (SHEA) BUTTER, CANOLA OIL, MICA, SCLEROCARYA BIRREA (MARULA) SEED OIL, CI 77499 (IRON OXIDES), CI 75470 (CARMINE), CI 77891 (TITANIUM DIOXIDE), CANDELILLA CERA (EUPHORBIA CERIFERA WAX), MALTODEXTRIN, GLYCERYL CAPRYLATE, COPERNICIA CERIFERA CERA (CARNAUBA WAX), TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, ASCORBYL PALMITATE",yes,no
Harmonising Wellness Tea Beutel,en,https://image.labiosthetique.com/i/square-1440/m2-product:harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/feed-media.jpg,https://www.labiosthetique.de/harmonising-wellness-tea?childSku=4040218879698,/harmonising-wellness-tea?childSku=4040218879698,002142,The harmonising wellness tea imparts a soothing balance to the body from the inside. Its ingredients from certified organic cultivation are inspired by the popular fragrance composition of the Spa body care range.,"12,50 €","416,67 € / 1 kg",30 g,Hautpflege,Pour boiling water onto a pyramid bag in a cup and leave to steep for 7–10 minutes.,,no,no
Scalp Care Set Méthode Clarifiante ,en,https://image.labiosthetique.com/i/square-1440/m2-product:scalp_care_set_m_thode_clarifiante_411245_1Set_4e4ffe5.jpg/feed-media.jpg,https://www.labiosthetique.de/scalp-care-set-methode-clarifiante,/scalp-care-set-methode-clarifiante,012938,"The Méthode Clarifiante care routine regulates excessive sweat production, restores the balance of the scalp and improves the hair quality – for long-lasting freshness and visibly healthy hair.","37,50 €",,1 set,Haar- & Kopfhautpflege,"Distribute Moisture Control Shampoo evenly in moist hair and on the scalp, briefly leave it to take effect, then rinse it out thoroughly. Next, apply Moisture Control Scalp Lotion along the parting of the scalp and gently massage it in. Do not rinse it out.","Moisture Control Shampoo INGREDIENTS: AQUA (WATER), SODIUM LAURETH SULFATE, DISODIUM LAURETH SULFOSUCCINATE, CAPRYLYL/CAPRYL GLUCOSIDE, LAURYL PYRROLIDONE, PROPANEDIOL, POLYGLYCERYL-3 OLEATE, SODIUM BENZOATE, SODIUM CHLORIDE, PARFUM (FRAGRANCE), BETAINE, ACETIC ACID, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, BENZOIC ACID, FOMES OFFICINALIS (MUSHROOM) EXTRACT, CITRIC ACID, POTASSIUM SORBATE, LIMONENE, CITRUS LIMON (LEMON) PEEL OIL, PINENE Moisture Control Scalp Lotion INGREDIENTS: AQUA (WATER), ALCOHOL DENAT., PROPANEDIOL, NIACINAMIDE, LYSINE ASPARTATE, ETHOXYDIGLYCOL, FOMES OFFICINALIS (MUSHROOM) EXTRACT, SODIUM BENZOATE, COCO-BETAINE, SODIUM CHLORIDE, LACTIC ACID, PARFUM (FRAGRANCE), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, LIMONENE, CITRUS LIMON (LEMON) PEEL OIL, PINENE",yes,yes
Comforting Hydro Toner,en,https://image.labiosthetique.com/i/square-1440/m2-product:comforting_hydro_toner_392037_50ml_8643769.jpg/feed-media.jpg,https://www.labiosthetique.de/comforting-hydro-toner?childSku=4040218868197,/comforting-hydro-toner?childSku=4040218868197,003737,"The soothing toner alleviates the symptoms of sensitive, irritated skin, supplies it with rich moisture and perfectly prepares it for the subsequent care steps. Ideal in combination with Méthode Clarifiante.","6,50 €","130,00 € / 1 l",50 ml,Hautpflege,"In the morning and evening, use a cotton pad or the sprayer to apply the toner to the skin on the face, neck and décolleté.","AQUA (WATER), GLYCERIN, SORBITOL, HYDROXYPHENYL PROPAMIDOBENZOIC ACID, PANTHENOL, ASCORBYL PALMITATE, TOCOPHEROL, ETHYLHEXYLGLYCERIN, BUTYLENE GLYCOL, PENTYLENE GLYCOL, CITRIC ACID, PHENOXYETHANOL",yes,yes
Hairloss Control Scalp Concentrate,en,https://image.labiosthetique.com/i/square-1440/m2-product:hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/feed-media.jpg,https://www.labiosthetique.de/hairloss-control-scalp-concentrate,/hairloss-control-scalp-concentrate,120931,"The scalp concentrate revitalises the hair roots and prolongs the life cycle of the hair. It uses differentiated effect mechanisms to combat hair loss, promote hair growth and significantly improve the quality and density of the hair.","158,50 €","1.585,00 € / 1 l",100 ml,Haar- & Kopfhautpflege,"Apply the contents of one ampoule to the scalp along the parting and massage in gently. Allow to absorb before blow-drying. For intensive treatment, we recommend that you ideally apply the product every other day over a period of three months. For prophylaxis in the case of age-related weakening hair growth and if there is a recognisable tendency towards hair loss in the family, long-term preventive treatment with 1–2 ampoules per week is recommended. The same applies to age-related weakened hair.","AQUA (WATER), ALCOHOL DENAT., GLYCERIN, PANAX GINSENG ROOT EXTRACT, PHENOXYETHANOL, ARGININE, ACETYL TYROSINE, ARCTIUM MAJUS ROOT EXTRACT, HYDROLYZED SOY PROTEIN, HYDROXYPROPYL GUAR, MANNITOL, PHOSPHATIDYLCHOLINE, CALCIUM PANTOTHENATE , ZINC GLUCONATE, MALUS DOMESTICA FRUIT CELL CULTURE EXTRACT, ETHYLHEXYLGLYCERIN, NIACINAMIDE, ORNITHINE HCL, TROMETHAMINE, XANTHAN GUM, LACTIC ACID, CHLORELLA VULGARIS/LUPINUS ALBUS PROTEIN FERMENT, POLYGLYCERYL-10 LAURATE, CITRULLINE, CETYL ALCOHOL, SODIUM BENZOATE, POTASSIUM SORBATE, CITRIC ACID, LEONTOPODIUM ALPINUM FLOWER/LEAF EXTRACT, GLUCOSAMINE HCL, SORBITAN OLEATE, BIOTIN, DISODIUM SUCCINATE, SODIUM METABISULFITE, CETRIMONIUM CHLORIDE, LARIX EUROPAEA WOOD EXTRACT, CAPRYLYL GLYCOL, LECITHIN, SALVIA MILTIORRHIZA LEAF EXTRACT, PHYTOSPHINGOSINE, GLYCINE, CAMELLIA SINENSIS LEAF EXTRACT, PALMITOYL TETRAPEPTIDE-20, ZINC CHLORIDE, TOCOPHEROL",yes,yes
Clarifying Spot Gel,en,https://image.labiosthetique.com/i/square-1440/m2-product:clarifying_spot_gel_396279_15ml_66db2a2.jpg/feed-media.jpg,https://www.labiosthetique.de/clarifying-spot-gel,/clarifying-spot-gel,002739,Clarifying hydrogel for the targeted and effective treatment of areas of skin containing spots and blackheads. For all lovers ofLikopan Gel this will be your new favorite product.,"24,50 €","1.633,33 € / 1 l",15 ml,Hautpflege,Apply the gel directly to the cleansed affected areas of skin and leave it to take effect. The gel can be applied to specific areas of skin several times a day.,"AQUA (WATER), ALCOHOL DENAT., HYDROXYPROPYL GUAR, GARCINIA MANGOSTANA PEEL EXTRACT, DIPOTASSIUM GLYCYRRHIZATE, PROPANEDIOL",yes,yes
Setting Spray,en,https://image.labiosthetique.com/i/square-1440/m2-product:setting_spray_410784_100ml_11cfef6.jpg/feed-media.jpg,https://www.labiosthetique.de/setting-spray,/setting-spray,021063,"With its extra-fine spray mist, Setting Spray reliably fixes make-up looks in place while treating the skin with moisture from aloe vera and chestnut seed extract. Its weightless texture settles on the skin like a caring veil and provides a natural matte finish.","29,50 €",,100 ml,Make-Up,"After applying make-up, spray evenly onto the face from a distance of approx. 20 to 30 cm. Keep the eyes and mouth closed. Do not breathe in. Briefly leave to absorb. For a particularly fresh finish, apply every so often throughout the day.",,no,no
glam + colour Smoky Taupe .29 .BP Mask,en,https://image.labiosthetique.com/i/square-1440/m2-product:glam_colour_smoky_taupe_.29_.bp_mask_414846_200ml_c3b6ee4.jpg/feed-media.jpg,https://www.labiosthetique.de/glam-colour-smoky-taupe-29-bp-mask,/glam-colour-smoky-taupe-29-bp-mask,038276,The hair mask with colour pigments and colour protection has an intensive conditioning effect and gives blonde hair a cool taupe shade with radiant reflexes.,"37,50 €","187,50 € / 1 l",200 ml,Haar- & Kopfhautpflege,"Using the enclosed gloves, apply Colouring Mask evenly to washed, towel-dried hair. Leave to take effect for 3–10 minutes depending on the desired intensity, then rinse out thoroughly.","AQUA (WATER), BEHENAMIDOPROPYL DIMETHYLAMINE, DICAPRYLYL ETHER , NEOPENTYL GLYCOL DIHEPTANOATE, PROPYLENE GLYCOL, INULIN, DICOCOYL PENTAERYTHRITYL DISTEARYL CITRATE , CETEARYL ALCOHOL, LAURYL ALCOHOL, PHENOXYETHANOL, PARFUM (FRAGRANCE), BEHENTRIMONIUM METHOSULFATE, CETRIMONIUM CHLORIDE, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, GLYCERIN, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, BUTYLENE GLYCOL, ETHYLHEXYLGLYCERIN, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, LIMONENE, LINALOOL, HELIANTHUS ANNUUS (SUNFLOWER) SEED EXTRACT, LINALYL ACETATE, GERANIOL, TERPINEOL, BASIC RED 76, N,N´-BIS(2-HYDROXYETHYL)-2-NITRO-P-PHENYLENEDIAMINE, CITRONELLOL, HC BLUE NO. 16, ORYZA SATIVA (RICE) SEED PROTEIN, PINENE, BASIC YELLOW 57, CITRIC ACID, ORYZA SATIVA (RICE) EXTRACT, BASIC BROWN 17, HC BLUE NO. 2, GLUCONOLACTONE , SODIUM BENZOATE, TOCOPHEROL, CALCIUM GLUCONATE",yes,yes
Liquid Glam,en,https://image.labiosthetique.com/i/square-1440/m2-product:liquid_glam_388847_4ml_0f1203c.jpg/feed-media.jpg,https://www.labiosthetique.de/liquid-glam,/liquid-glam,021278,"The transparent and versatile glitter gel conjures up sparkling highlights on the skin and emphasises the eyes, cheekbones, lips or décolleté.","34,50 €","8,63 € / 1 ml",4 ml,Make-Up,"For optimum adhesion, only apply to oil-free skin. Carefully apply the glitter gel to the desired areas of skin using the applicator, a brush or your fingertips and leave to dry. Close the container carefully after use and store in a cool, dry place.","AQUA (WATER), CALCIUM SODIUM BOROSILICATE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, PROPANEDIOL, POLYGLYCERYL-10 EICOSANEDIOATE/TETRADECANEDIOATE, GLYCERIN, CI 77891 (TITANIUM DIOXIDE), 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, SODIUM HYDROXIDE, TIN OXIDE",yes,yes
Colour Protection Structure Restoring Treatment,en,https://image.labiosthetique.com/i/square-1440/m2-product:colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/feed-media.jpg,https://www.labiosthetique.de/colour-protection-structure-restoring-treatment,/colour-protection-structure-restoring-treatment,123212,"In two phases, the deep-conditioning hair care repairs and regenerates the internal and external structure of chemically stressed hair, strengthens the hair, prevents hair breakage and protects the hair against negative environmental influences and premature colour loss.","69,50 €",,1 set,Haar- & Kopfhautpflege,"Spray Structure Restoring Spray section by section into damp towel-dried hair and do not rinse out, then evenly distribute Structure Restoring Mask into the hair and comb through. Leave in for at least 10 minutes. Rinse out thoroughly with water.","Structure Restoring Mask: INGREDIENTS : AQUA (WATER), BEHENAMIDOPROPYL DIMETHYLAMINE, CETEARYL ALCOHOL, PROPYLENE GLYCOL, NEOPENTYL GLYCOL DIHEPTANOATE, DICAPRYLYL ETHER , DICOCOYL PENTAERYTHRITYL DISTEARYL CITRATE , INULIN, LACTIC ACID, BEHENTRIMONIUM METHOSULFATE, LAURYL ALCOHOL, POLYGLYCERYL-3 OLEATE, ARGANIA SPINOSA (ARGAN) KERNEL OIL, PARFUM (FRAGRANCE), BETAINE, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, BUTYLENE GLYCOL, BENZOIC ACID, CETEARYL ISONONANOATE, TRITICUM VULGARE GERM OIL, ACETIC ACID, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, CAPRYLIC/CAPRIC TRIGLYCERIDE, SILK, CERAMIDE NG, TROMETHAMINE, LINOLEIC ACID, LIMONENE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, LINALOOL, TRITICUM VULGARE (WHEAT) BRAN EXTRACT, TRITICUM VULGARE GERM EXTRACT, CRAMBE MARITIMA LEAF EXTRACT, LINALYL ACETATE, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, CAMELLIA OLEIFERA SEED OIL, TOCOPHERYL ACETATE, TOCOPHEROL Structure Restoring Spray: INGREDIENTS : AQUA (WATER), MAGNESIUM SULFATE, CETRIMONIUM CHLORIDE, PANTHENOL, PHENOXYETHANOL, HYDROLYZED WHEAT PROTEIN, PARFUM (FRAGRANCE), BUTYLENE GLYCOL, DISODIUM COCOAMPHODIACETATE , PEG-40 HYDROGENATED CASTOR OIL, TRIDECETH-9, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, ETHYLHEXYLGLYCERIN, SODIUM CHLORIDE, PROPYLENE GLYCOL, LACTIC ACID, HEXAMETHYLINDANOPYRAN, LIMONENE, SODIUM BENZOATE, LINALOOL, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, CITRIC ACID, CRAMBE MARITIMA LEAF EXTRACT, LINALYL ACETATE, HYDROLYZED KERATIN, CYSTEINE HCL",yes,yes
After Sun Soothing Hydro Spray,en,https://image.labiosthetique.com/i/square-1440/m2-product:after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/feed-media.jpg,https://www.labiosthetique.de/after-sun-soothing-hydro-spray,/after-sun-soothing-hydro-spray,002241,The refreshing hydro spray instantly calms and relaxes sun-stressed skin and supplies valuable moisture.,"20,00 €","200,00 € / 1 l",100 ml,Hautpflege,Spray generously onto the skin after sun exposure and for additional cooling.,"AQUA (WATER), ALCOHOL DENAT., GLYCERIN, SORBITOL, CAPRYLYL/CAPRYL GLUCOSIDE, PANTHENOL, SODIUM GLUCONATE, SODIUM LACTATE, SACCHARIDE ISOMERATE, SODIUM BENZOATE, ALOE BARBADENSIS LEAF JUICE POWDER, PARFUM (FRAGRANCE), POTASSIUM SORBATE, SODIUM COCOYL GLUTAMATE, CITRIC ACID, GLYCERYL CAPRYLATE, POLYGLYCERYL-6 OLEATE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, BENZOIC ACID, LIMONENE, BENZYL SALICYLATE, GLUCOMANNAN, SODIUM SURFACTIN, BENZYL ALCOHOL, HEXYL CINNAMAL, CITRUS AURANTIUM PEEL OIL, SODIUM CITRATE, LINALOOL, CITRONELLOL",yes,no
Fortifying Shampoo,en,https://image.labiosthetique.com/i/square-1440/m2-product:fortifying_shampoo_382571_250ml_a2d6f95.jpg/feed-media.jpg,https://www.labiosthetique.de/fortifying-shampoo,/fortifying-shampoo,120613,"The mild shampoo fortifies the hair roots, gives weakened, brittle hair new strength and prepares the scalp for subsequent care to combat hair loss and hair growth disorders.","32,50 €","130,00 € / 1 l",250 ml,Haar- & Kopfhautpflege,"Distribute evenly in the hair and on the scalp, briefly leave to take effect, then rinse out thoroughly.","AQUA (WATER), SODIUM LAURETH SULFATE, SODIUM LAUROYL OAT AMINO ACIDS, MARIS SAL (SEA SALT), SODIUM BENZOATE, SODIUM POLYPHOSPHATE, PHENOXYETHANOL, HYDROLYZED WHEAT PROTEIN, BENZOIC ACID, TETRASODIUM EDTA, PARFUM (FRAGRANCE), LACTIC ACID, ETHYLHEXYLGLYCERIN, CHLORELLA VULGARIS/LUPINUS ALBUS PROTEIN FERMENT, HYDROXYPROPYL OXIDIZED STARCH PG-TRIMONIUM CHLORIDE, STARCH HYDROXYPROPYLTRIMONIUM CHLORIDE, SODIUM LACTATE, SODIUM CHLORIDE, UREA, POTASSIUM SORBATE, GLYCERIN, LEVULINIC ACID, P-ANISIC ACID",yes,yes
Seifenschale,en,https://image.labiosthetique.com/i/square-1440/m2-product:seifenschale_280291_1St_ck_af203e0.jpg/feed-media.jpg,https://www.labiosthetique.de/seifenschale,/seifenschale,053518,A visual highlight for every bathroom: this simply designed soap dish is the perfect holder for the beautifully scented SPA range soap offering a certain je ne sais quoi,"12,00 €",,1 pcs,Hautpflege,,,no,no
Brow Definer B01 Dark Brown,en,https://image.labiosthetique.com/i/square-1440/m2-product:brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg/feed-media.jpg,https://www.labiosthetique.de/brow-definer?childSku=4040218889994,/brow-definer?childSku=4040218889994,017622,"The stylishly slim Brow Definer effortlessly defines precise, natural-looking eyebrows, fills in individual hairs and shades contours. Its ultra-fine tip delivers on-point results with just one twist. With vegan, natural ingredients and caring vitamins.","24,50 €",,"0,09 g",Make-Up,"Twist out the fine tip and draw short, hair-like lines for natural brow definition. Light pressure is sufficient. Slightly stronger pressure intensifies the line thickness and expression. Blend with the integrated brush and shape the brows – for a perfect result in seconds!","OCTYLDODECANOL, CI 77891 (TITANIUM DIOXIDE), HYDROGENATED VEGETABLE OIL, CI 77499 (IRON OXIDES), ORYZA SATIVA (RICE) BRAN WAX, SYNTHETIC WAX, COPERNICIA CERIFERA CERA (CARNAUBA WAX), CI 77492 (IRON OXIDES), CI 77491 (IRON OXIDES), ETHYLCELLULOSE, MICA, TOCOPHEROL, ASCORBYL PALMITATE",yes,yes
Eyeshadow Pen Macadamia,en,https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg/feed-media.jpg,https://www.labiosthetique.de/eyeshadow-pen?childSku=4040218814293,/eyeshadow-pen?childSku=4040218814293,016966,Can be used as an eyeshadow or an liner: Eyeshadow Pen with a soft and creamy texture that is easy to apply and blend,"23,50 €",,"1,4 g",Make-Up,Apply the Eyeshadow Pen as an eyeshadow to the whole top lid or as an eyeliner along the lashes. The colour is easy to blend with the fingers or a brush.,"ISODODECANE, MICA, SYNTHETIC WAX, ETHYLENE/PROPYLENE COPOLYMER, POLYMETHYLSILSESQUIOXANE, SILICA, POLYBUTENE, HYDROGENATED POLYDICYCLOPENTADIENE, CI 77891 (TITANIUM DIOXIDE), SUCROSE TETRASTEARATE TRIACETATE, COCO-CAPRYLATE/CAPRATE, ORYZA SATIVA (RICE) BRAN WAX, SYNTHETIC FLUORPHLOGOPITE, CI 77491 (IRON OXIDES), SYNTHETIC BEESWAX, HYDROGENATED CASTOR OIL, CI 77499 (IRON OXIDES), PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, CI 77492 (IRON OXIDES), TIN OXIDE",no,no
Sensual Lipstick Brilliant B236 Sparkling Sorbet,en,https://image.labiosthetique.com/i/square-1440/m2-product:sensual_lipstick_brilliant_b236_sparkling_sorbet_324229_3_3g_110340c.jpg/feed-media.jpg,https://www.labiosthetique.de/sensual-lipstick-brilliant?childSku=4040218830293,/sensual-lipstick-brilliant?childSku=4040218830293,019462,The lipstick contains high-quality conditioning oils for a film star pout.,"26,50 €",,"3,3 g",Make-Up,Simply apply Sensual Lipstick Brilliant to the lips for shimmering shine. A lip brush provides a more precise application. Gently outline the lip line with a lip liner to match the colour of the lipstick for more intense colour brilliance.,"POLYGLYCERYL-2 TRIISOSTEARATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, MICA, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, CI 77491 (IRON OXIDES), CANDELILLA CERA (EUPHORBIA CERIFERA WAX), CI 77891 (TITANIUM DIOXIDE), CI 15850 (RED 7 LAKE), ETHYL VANILLIN, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, SILICA, AROMA (FLAVOR), CI 77499 (IRON OXIDES), CI 42090 (BLUE 1 LAKE), ASCORBYL PALMITATE, TOCOPHEROL, DISTEARDIMONIUM HECTORITE, POLYHYDROXYSTEARIC ACID, BENZYL ALCOHOL, ALUMINUM CALCIUM SODIUM SILICATE, TIN OXIDE",yes,yes
Volume Strengthening Shampoo,en,https://image.labiosthetique.com/i/square-1440/m2-product:volume_strengthening_shampoo_247449_250ml_5bc44f8.jpg/feed-media.jpg,https://www.labiosthetique.de/volume-strengthening-shampoo?childSku=4040218843293,/volume-strengthening-shampoo?childSku=4040218843293,120772,"This mild Strengthening Shampoo gently cleanses the hair, revitalises fine and thin hair, strengthens and seals the hair fibres and creates noticeably more thickness and volume.","28,00 €","112,00 € / 1 l",250 ml,Haar- & Kopfhautpflege,"Evenly distribute onto the hair and scalp and massage in, then rinse thoroughly.","AQUA (WATER), SODIUM LAURETH SULFATE, SODIUM CHLORIDE, DISODIUM COCOAMPHODIACETATE , DISODIUM LAURETH SULFOSUCCINATE, PEG-7 GLYCERYL COCOATE, PENTYLENE GLYCOL, PHENOXYETHANOL, PARFUM (FRAGRANCE), PEG-40 HYDROGENATED CASTOR OIL, TRIDECETH-9, COCAMIDOPROPYL BETAINE, PEG-150 PENTAERYTHRITYL TETRASTEARATE, POLYQUATERNIUM-7, HYDROLYZED RICE BRAN PROTEIN, TROMETHAMINE, PROPYLENE GLYCOL, HYDROLYZED SOY PROTEIN, KAPPAPHYCUS ALVAREZII EXTRACT, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, LAMINARIA SACCHARINA EXTRACT, POLYSORBATE 20, BENZOIC ACID, ETHYLHEXYLGLYCERIN, SODIUM POLYPHOSPHATE, LACTIC ACID, HEXADECANOLACTONE, CITRIC ACID, GLYCINE, BENZYL SALICYLATE, ALPHA-ISOMETHYL IONONE, LIMONENE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, POTASSIUM SORBATE, LINALYL ACETATE, PLANKTON EXTRACT, TOCOPHEROL",yes,yes
