title,locale,image_url,url,path,labio_identnummer,description,price,Grundpreis,Füllmenge,category,Anwendung,Inhaltsstoffe,Siliconfree,Vegan
Molding Cream,en,https://image.labiosthetique.com/i/square-1440/m2-product:molding_cream_368335_75ml_0d9b0d4.jpg/feed-media.jpg,https://www.labiosthetique.de/molding-cream-1,/molding-cream-1,110237,"The modelling cream smoothly shapes straight and curly hair and provides a light, supple hold.","27,00 €","360,00 € / 1 l",75 ml,Styling,"Detailed description of the application. However, without complementary products. Rub a little Molding Cream between the palms of your hands, distribute evenly through damp or dry hair and shape the hair. To reshape or refresh the look, heat the hair with a hairdryer, restyle and leave to cool.","AQUA (WATER), GLYCERYL STEARATE, PROPYLENE GLYCOL, OLETH-20, OZOKERITE, PARAFFINUM LIQUIDUM (MINERAL OIL), OLETH-3, OLETH-5, OLETH-10 PHOSPHATE, OLETH-3 PHOSPHATE, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, VP/VA COPOLYMER, TROMETHAMINE, KAOLIN, BENZOIC ACID, PARFUM (FRAGRANCE), SODIUM ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, POLYISOBUTENE, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, PEG-45M, SORBITAN OLEATE, HEXAMETHYLINDANOPYRAN, CAPRYLYL/CAPRYL GLUCOSIDE, CARAMEL, LIMONENE, LINALYL ACETATE, MALTODEXTRIN, PINENE, LINALOOL, CITRONELLOL, CITRUS LIMON PEEL OIL, GERANIOL, HYDROGEN PEROXIDE, CITRAL",yes,yes
Long Hair Protective Repair Mask,en,https://image.labiosthetique.com/i/square-1440/m2-product:long_hair_protective_repair_mask_418102_200ml_01c1eda.jpg/feed-media.jpg,https://www.labiosthetique.de/long-hair-protective-repair-mask-2,/long-hair-protective-repair-mask-2,120752,"The rich Protective Repair Mask revitalises dry, damaged lengths, strengthens the hair structure and provides reliable protection against hair breakage and split ends – for sleeker, more resistant and shiny long hair.","39,50 €","197,50 € / 1 l",200 ml,Haar- & Kopfhautpflege,"After washing the hair, distribute evenly in the lengths and tips. Leave to take effect for 2–5 minutes as express care and for 10–15 minutes as intensive care, then rinse out thoroughly.","AQUA (WATER), BEHENAMIDOPROPYL DIMETHYLAMINE, DICAPRYLYL CARBONATE, NEOPENTYL GLYCOL DIHEPTANOATE, CETEARYL ALCOHOL, PROPYLENE GLYCOL, INULIN, DICOCOYL PENTAERYTHRITYL DISTEARYL CITRATE , LACTIC ACID, BEHENTRIMONIUM METHOSULFATE, CETRIMONIUM CHLORIDE, PARFUM (FRAGRANCE), SODIUM BENZOATE, GLYCERIN, CAPRYLIC/CAPRIC TRIGLYCERIDE, PENTYLENE GLYCOL, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, OLEA EUROPAEA (OLIVE) LEAF EXTRACT, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, HYDROGENATED RAPESEED GLYCERIDES , TRITICUM VULGARE (WHEAT) BRAN EXTRACT, LIMONENE, ALPHA-ISOMETHYL IONONE, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, LINALOOL, CITRIC ACID, LINALYL ACETATE, JOJOBA ESTERS, 1,2-HEXANEDIOL, CAPRYLYL GLYCOL, CYCLODEXTRIN, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, TOCOPHEROL, POLYGLYCERIN-3, CYAMOPSIS TETRAGONOLOBA (GUAR) GUM, XANTHAN GUM, PHYTIC ACID",no,no
Silky Mineral Powder 2/1 Medium Rose ,en,https://image.labiosthetique.com/i/square-1440/m2-product:silky_mineral_powder_2_1_medium_rose_247799_12g_f2e7164.jpg/feed-media.jpg,https://www.labiosthetique.de/silky-mineral-powder?childSku=4040218840568,/silky-mineral-powder?childSku=4040218840568,018271,The loose mineral powder fixes your make-up and its pure mineral pigments magically give you a skin as fresh and luxurious as the purest skin.,"31,00 €",,12 g,Make-Up,"For fixing and improving your make-up’s durability: Delicately use the fluffy powder puff to finely dust Silky Mineral Powder on to your face. For more coverage: Use the La Biosthétique kabuki brush to work Silky Mineral Powder into the skin with lightly twisting, circular motions.","MICA, ZINC STEARATE, KAOLIN, BORON NITRIDE, SYNTHETIC FLUORPHLOGOPITE, MAGNESIUM MYRISTATE, CI 77492 (IRON OXIDES), CI 77491 (IRON OXIDES), DEHYDROACETIC ACID, CI 77499 (IRON OXIDES), STEARIC ACID",yes,yes
Taming Fluid,en,https://image.labiosthetique.com/i/square-1440/m2-product:taming_fluid_398090_150ml_d218c14.jpg/feed-media.jpg,https://www.labiosthetique.de/taming-fluid,/taming-fluid,110782,"The thermo-activated fluid protects during heat styling, tames the hair and smoothes it for a long time.","25,50 €","170,00 € / 1 l",150 ml,Styling,Distribute Taming Fluid evenly through damp hair. Blow-dry the hair straight and treat with a straightening iron if necessary.,"AQUA (WATER), ALCOHOL DENAT., GLYCERIN, POLYQUATERNIUM-28, PROPYLENE GLYCOL, VP/VA COPOLYMER, HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, PEG-40 HYDROGENATED CASTOR OIL, PANTHENOL, PEG-75 LANOLIN, HYDROLYZED WHEAT PROTEIN, PARFUM (FRAGRANCE), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, SILK AMINO ACIDS, PHENOXYETHANOL, CAPRYLYL GLYCOL, HEXAMETHYLINDANOPYRAN, LIMONENE, CITRIC ACID, LINALYL ACETATE, HYDROLYZED WHEAT PROTEIN PG-PROPYL SILANETRIOL , PINENE, LINALOOL, CITRONELLOL, IMIDAZOLIDINYL UREA, HYDROGEN PEROXIDE, CITRUS LIMON PEEL OIL, SODIUM BENZOATE, BHT",no,no
Glossing Spray,en,https://image.labiosthetique.com/i/square-1440/m2-product:glossing_spray_398126_150ml_3fc88bf.jpg/feed-media.jpg,https://www.labiosthetique.de/glossing-spray-1,/glossing-spray-1,110355,"The brilliant red carpet finish for every length and every look: Glossing Spray provides a long-lasting, shimmering shine and intense light reflections without silicones.","32,00 €","213,33 € / 1 l",150 ml,Styling,Spray Glossing Spray sparingly onto dry hair from a distance of 20-30 cm. Repeat if necessary.,"BUTANE, HEPTYL UNDECYLENATE, NEOPENTYL GLYCOL DIHEPTANOATE, DIHEPTYL SUCCINATE, ALCOHOL DENAT., ORBIGNYA SPECIOSA KERNEL OIL, PARFUM (FRAGRANCE), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, PROPYLENE GLYCOL, ASTROCARYUM MURUMURU SEED BUTTER, CAPRYLOYL GLYCERIN/SEBACIC ACID COPOLYMER, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, LIMONENE, LINALOOL, LINALYL ACETATE, TERPINEOL, PINENE, TOCOPHEROL",yes,yes
Dermosthétique Peel³ Complex Deep Purifying Mask,en,https://image.labiosthetique.com/i/square-1440/m2-product:dermosth_tique_peel_complex_deep_purifying_mask_266957_75ml_f8a9a1d.jpg/feed-media.jpg,https://www.labiosthetique.de/dermosthetique-peel-complex-deep-purifying-mask,/dermosthetique-peel-complex-deep-purifying-mask,002876,"With its triple exfoliating effect, this particularly gentle, creamy mask refines the complexion instantly and lastingly, cleanses the skin deep down and supports the skin’s natural renewal.","39,00 €","520,00 € / 1 l",75 ml,Hautpflege,"Apply to the cleansed facial skin, leaving out the eye and mouth areas, once or twice a week. Allow to take effect for no longer than 20 minutes, then remove with warm water. Gently massaging the skin supports the exfoliating effect.","AQUA (WATER), SORBITOL, CETEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, ISOPROPYL PALMITATE, VACCINIUM MACROCARPON (CRANBERRY) FRUIT POWDER, LACTOBACILLUS/PUNICA GRANATUM FRUIT FERMENT EXTRACT, CETEARYL GLUCOSIDE, CETYL PALMITATE, BAMBUSA ARUNDINACEA STEM EXTRACT, COCO-CAPRYLATE/CAPRATE, HYDROGENATED COCO-GLYCERIDES, SODIUM STEAROYL GLUTAMATE, PHENOXYETHANOL, PARFUM (FRAGRANCE), GLYCOLIC ACID, LACTIC ACID, SODIUM MAGNESIUM SILICATE, CITRIC ACID, BENZOIC ACID, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, DEHYDROACETIC ACID, XANTHAN GUM, TOCOPHEROL",no,yes
Bürste Denman D83 Large,en,https://image.labiosthetique.com/i/square-1440/m2-product:b_rste_denman_d83_large_247423_1St_ck_5a70155.jpg/feed-media.jpg,https://www.labiosthetique.de/buerste-denman-d83-large,/buerste-denman-d83-large,030312,The cult-status hairbrush with plastic bristles and protective ball ends: very gentle to the scalp and hair.,"19,00 €",,1 pcs,"Haar- & Kopfhautpflege,Styling","The brush is suitable for combing dry and wet hair, as well as drying hair: Place the brush at the hair roots, hold tight in the hair and direct the hairdryer at the brush body. Blow-dry the hair on a high setting and for longer hold blast it with the cool shot setting.",,no,no
Long Hair Refreshing Dry Shampoo,en,https://image.labiosthetique.com/i/square-1440/m2-product:long_hair_refreshing_dry_shampoo_247295_200ml_6c349ed.jpg/feed-media.jpg,https://www.labiosthetique.de/long-hair-refreshing-dry-shampoo,/long-hair-refreshing-dry-shampoo,120989,"With the finest rice starch powder, Refresh Dry Shampoo absorbs surplus oils. Roots and lengths are naturally refreshed. The hair smells good, has loose volume and feels freshly washed.","31,00 €","155,00 € / 1 l",200 ml,Haar- & Kopfhautpflege,"Shake well before use (for an intensive application shake again during the process). Evenly spray on to roots or straggly lengths from a distance of approx. 20 – 30 cm. If necessary, lift up individual sections and spray under them. Briefly allow to dry and, if necessary, work the powder into the hair with a brush. Repeat for very oily hair.","BUTANE, PROPANE, ALCOHOL DENAT., ISOBUTANE, ORYZA SATIVA (RICE) STARCH, PARFUM (FRAGRANCE), TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES, HEXAMETHYLINDANOPYRAN",yes,no
Natural Skin 5/5 Deep Brown,en,https://image.labiosthetique.com/i/square-1440/m2-product:natural_skin_5_5_deep_brown_391035_30ml_a17ad15.jpg/feed-media.jpg,https://www.labiosthetique.de/natural-skin?childSku=4040218842067,/natural-skin?childSku=4040218842067,021731,"With medium coverage, moisturising and conditioning components, the delicate foundation creates a silky smooth, naturally even complexion.","42,50 €",,30 ml,Make-Up,"After face care, apply and blend with the fingers or with a make-up sponge or brush.","AQUA (WATER), CI 77891 (TITANIUM DIOXIDE), CAPRYLIC/CAPRIC TRIGLYCERIDE, ETHYLHEXYL SALICYLATE, PENTYLENE GLYCOL, SILICA, ALCOHOL DENAT., SQUALANE, STEARIC ACID, PALMITIC ACID, CI 77492 (IRON OXIDES), GLYCOL STEARATE, MYRISTYL MYRISTATE, CI 77491 (IRON OXIDES), CETEARYL ALCOHOL, SODIUM CETEARYL SULFATE, ETHYLHEXYL PALMITATE, TOCOPHERYL ACETATE, XANTHAN GUM, CI 77499 (IRON OXIDES), PARFUM (FRAGRANCE), HYDROLYZED JOJOBA ESTERS, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, MYRISTIC ACID, SODIUM HYDROXIDE, ARACHIDIC ACID, TOCOPHEROL, JOJOBA ESTERS, CITRONELLOL, TRIHYDROXYSTEARIN, DIMETHYL PHENETHYL ACETATE, ALUMINA, MAGNESIUM OXIDE, TERPINEOL, VANILLIN, HEXYL CINNAMAL, ALPHA-ISOMETHYL IONONE, SODIUM HYALURONATE, GLUCOMANNAN",yes,yes
Revitalising Hydro Toner,en,https://image.labiosthetique.com/i/square-1440/m2-product:revitalising_hydro_toner_382732_250ml_e65b433.jpg/feed-media.jpg,https://www.labiosthetique.de/revitalising-hydro-toner,/revitalising-hydro-toner,004307,"The revitalising formula with skin-identical moisturising components relaxes the skin after cleansing, plumps it up and forms the ideal basis for the subsequent care steps. For all lovers of Visalix Jeunesse this will be your new favorite product.","36,50 €","146,00 € / 1 l",250 ml,Hautpflege,"After cleansing with Rich Micellar Cleansing Cream, apply to the face, neck and décolleté and continue with your usual skin care routine immediately afterwards. Do not remove excess toner, but allow it to work into the skin with the subsequent skin care product.","AQUA (WATER), ALCOHOL DENAT., GLYCERIN, SORBITOL, PANTHENOL, SODIUM GLUCONATE, SODIUM LACTATE, SACCHARIDE ISOMERATE, GLUCOMANNAN, CHLORELLA VULGARIS/LUPINUS ALBUS PROTEIN FERMENT, CITRIC ACID, SODIUM CITRATE, SODIUM BENZOATE, POTASSIUM SORBATE, BENZOIC ACID",yes,yes
