id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
003794;Visalix Clarifiant;Gezichts- en lichaamsverzorging;Visalix Clarifiant;;;;;;;;;;;https://www.labiosthetique.nl/nl/visalix-clarifiant;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/i/visalix_clarifiant_248007_100ml_b4cc9f7.jpg/visalix_clarifiant_248007_100ml_b4cc9f7.jpg;;https://www.labiosthetique.nl/nl/visalix-clarifiant;;;;;;;;;;;;;;;;Huidverhelderende gezichtslotion tegen een onzuivere huid: werkt adstringerend en verzorgt de huid met belangrijke hydratatie. Voor een heldere huid en een egale teint.;;;;;;;;;;;;;;;;;;;
017524;Pencil for Eyes Violet Silk;Make-up;Pencil for Eyes Violet Silk;;;;;;;;;;;https://www.labiosthetique.nl/nl/pencil-for-eyes?childSku=4040218875898;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;;https://www.labiosthetique.nl/nl/pencil-for-eyes?childSku=4040218875898;;;;;;;;;;;;;;;;Zachte kajal voor natuurlijke ogenblikken – dag na dag;;;;;;;;;;;;;;;;;;;
002142;Harmonising Wellness Tea Beutel;Gezichts- en lichaamsverzorging;Harmonising Wellness Tea Beutel;;;;;;;;;;;https://www.labiosthetique.nl/nl/harmonising-wellness-tea?childSku=4040218879698;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/harmonising_wellness_tea_beutel_393259_30g_856711c.jpg/harmonising_wellness_tea_beutel_393259_30g_856711c.jpg;;https://www.labiosthetique.nl/nl/harmonising-wellness-tea?childSku=4040218879698;;;;;;;;;;;;;;;;Wellness-thee van gecertificeerde biologische teelt;;;;;;;;;;;;;;;;;;;
PF0098;Protective Lipid Capsules;Gezichts- en lichaamsverzorging;Protective Lipid Capsules;;;;;;;;;;;https://www.labiosthetique.nl/nl/protective-lipid-capsules;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/r/protective_lipid_capsules_248049_9ec0598.jpg/protective_lipid_capsules_248049_9ec0598.jpg;;https://www.labiosthetique.nl/nl/protective-lipid-capsules;;;;;;;;;;;;;;;;Das Lipidserum pflegt und schützt trockene, empfindliche Haut.;;;;;;;;;;;;;;;;;;;
003939;Homme Hair Beard Body Wash;Haarverzorging,Gezichts- en lichaamsverzorging;Homme Hair Beard Body Wash;;;;;;;;;;;https://www.labiosthetique.nl/nl/hair-beard-body-wash?childSku=4040218802597;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;;https://www.labiosthetique.nl/nl/hair-beard-body-wash?childSku=4040218802597;;;;;;;;;;;;;;;;Voor huid, haar en baard: verkwikkende douchegel die mild reinigt en huid en haar beschermt tegen uitdroging met een extra portie hydratatie.;;;;;;;;;;;;;;;;;;;
003737;Comforting Hydro Toner;Gezichts- en lichaamsverzorging;Comforting Hydro Toner;;;;;;;;;;;https://www.labiosthetique.nl/nl/comforting-hydro-toner?childSku=4040218868197;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;;https://www.labiosthetique.nl/nl/comforting-hydro-toner?childSku=4040218868197;;;;;;;;;;;;;;;;Kalmerende, hydraterende toner;;;;;;;;;;;;;;;;;;;
120931;Hairloss Control Scalp Concentrate;Haarverzorging;Hairloss Control Scalp Concentrate;;;;;;;;;;;https://www.labiosthetique.nl/nl/hairloss-control-scalp-concentrate;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg;;https://www.labiosthetique.nl/nl/hairloss-control-scalp-concentrate;;;;;;;;;;;;;;;;Scalp concentraat tegen haaruitval;;;;;;;;;;;;;;;;;;;
021278;Liquid Glam;Make-up;Liquid Glam;;;;;;;;;;;https://www.labiosthetique.nl/nl/liquid-glam;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;;https://www.labiosthetique.nl/nl/liquid-glam;;;;;;;;;;;;;;;;Transparante all over glittergel;;;;;;;;;;;;;;;;;;;
120295;Shampooing Lipokérine A;Haarverzorging;Shampooing Lipokérine A;;;;;;;;;;;https://www.labiosthetique.nl/nl/shampooing-lipokerine-a;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg/shampooing_lipok_rine_a_247305_250ml_f23d404.jpg;;https://www.labiosthetique.nl/nl/shampooing-lipokerine-a;;;;;;;;;;;;;;;;Opbouwende shampoo tegen een vette hoofdhuid;;;;;;;;;;;;;;;;;;;
180255;Shampooing Hydrotoxa;Haarverzorging;Shampooing Hydrotoxa;;;;;;;;;;;https://www.labiosthetique.nl/nl/shampooing-hydrotoxa-180255;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_hydrotoxa_247311_250ml_adbd04e.jpg/shampooing_hydrotoxa_247311_250ml_adbd04e.jpg;;https://www.labiosthetique.nl/nl/shampooing-hydrotoxa-180255;;;;;;;;;;;;;;;;Actieve shampoo tegen sliertig haar;;;;;;;;;;;;;;;;;;;
