guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
120948;After Sun Hydrating Hair Mask;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/after-sun-hydrating-hair-mask-1?childSku=4040218837506;42,00;The care and repair mask restructures sun-stressed hair with an intensively conditioning moisture boost.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_hydrating_hair_mask_247393_125ml_ce6bb26.jpg/after_sun_hydrating_hair_mask_247393_125ml_ce6bb26.jpg;Y;Home | Default Category > Hair & scalp care > customer's needs > repair/regenerate | Default Category > Hair & scalp care > category > conditioner | Default Category > Hair & scalp care > category > treatment | Default Category > Hair & scalp care > Methode > Soleil;2026-01-29T01:03:29.821Z;;125 ml
110339;Volumising Spray;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/volumising-spray;42,00;Formally Volumising Lotion - new design, unchanged formula: The non-aerosol spray with UV protection provides volume build-up, grip and flexible hold. ;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volumising_spray_398075_100ml_1b1d796.jpg/volumising_spray_398075_100ml_1b1d796.jpg;Y;Home | Default Category > Styling > holding factor > 3 | Default Category > Styling > customer wishes > shape hair | Default Category > Styling > customer wishes > volume/body | Default Category > Styling > customer wishes > sunscreen | Default Category > Styling > application > Frizz Control | Default Category > Styling > application > Base | Default Category > Styling > hair type > fine hair | Default Category > Styling > hair type > straight hair | Default Category > Styling > hair type > short hair | Default Category > Styling > hair type > long hair | Default Category > Styling > hair type > curly hair | Default Category > Styling > hair type > brittle hair | Default Category > Styling > hair type > dry hair | Default Category > Styling > hair type > unruly hair | Default Category > Styling > hair type > dull hair | Default Category > Styling > category > hair spray | Default Category > Styling > customer wishes > fix hair | Default Category > Styling > customer wishes > hair shine | Default Category > Styling > customer wishes > texturize hair;2026-01-29T01:03:29.822Z;;100 ml
018316;Silky Mineral Powder 2/3 Medium Gold;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/silky-mineral-powder?childSku=4040218840605;60,00;The loose mineral powder fixes your make-up and its pure mineral pigments highlight fresh and luxurious skin.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/i/silky_mineral_powder_2_3_medium_gold_247801_12g_f49869f.jpg/silky_mineral_powder_2_3_medium_gold_247801_12g_f49869f.jpg;Y;Home | Default Category > Make-Up > colour >  nude | Default Category > Make-Up > make-up categories > powder | Default Category > Make-Up > category > complexion;2026-01-29T01:03:29.822Z;;12 g
110629;Classic Formula Hair Laque;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/classic-formula-hair-laque?childSku=4040218869705;46,00;<p>The delicately scented, silicone-free hair lacquer is distributed on the hair in a microfine mist and provides the hair with strong, flexible hold and silky shine.</p>;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/classic_formula_hair_laque_398139_300ml_ade34de.jpg/classic_formula_hair_laque_398139_300ml_ade34de.jpg;Y;Home | Default Category > Styling > application > Frizz Control | Default Category > Styling > application > Finish | Default Category > Styling > hair type > fine hair | Default Category > Styling > hair type > straight hair | Default Category > Styling > hair type > short hair | Default Category > Styling > hair type > long hair | Default Category > Styling > hair type > curly hair | Default Category > Styling > hair type > brittle hair | Default Category > Styling > hair type > dry hair | Default Category > Styling > hair type > unruly hair | Default Category > Styling > hair type > dull hair | Default Category > Styling > category > hair spray | Default Category > Styling > holding factor > 4 | Default Category > Styling > customer wishes > fix hair | Default Category > Styling > customer wishes > hair shine;2026-01-29T01:03:29.823Z;;300 ml
016582;Magic Shadow 56 Moss;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/magic-shadow?childSku=4040218875805;43,00;The powder eyeshadow contains powdery color pigments to magically give the eyelids enchanting accents.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_56_moss_388820_2_5g_bc82fb8.jpg/magic_shadow_56_moss_388820_2_5g_bc82fb8.jpg;Y;Home | Default Category > Make-Up > colour > green | Default Category > Make-Up > make-up categories > eye shadow | Default Category > Make-Up > category > eyes;2026-01-29T01:03:29.823Z;;2,5 g
016534;Magic Shadow 28 Ivory;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/magic-shadow?childSku=4040218773804;43,00;The powder eyeshadow contains powdery colour pigments to  give the eyelids enchanting accents.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_28_ivory_102748_3_5g_0eeac28.jpg/magic_shadow_28_ivory_102748_3_5g_0eeac28.jpg;Y;Home | Default Category > Make-Up > colour > white / ivory / champagne | Default Category > Make-Up > make-up categories > eye shadow | Default Category > Make-Up > category > eyes;2026-01-29T01:03:29.824Z;woman;3,5 g
019517;Daily Care Lipstick;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/daily-care?childSku=4040218810004;41,00;The lip care stick restores silky softness to chapped lips, provides plenty of moisture and gives them natural shine – every day.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/a/daily_care_lipstick_247703_3_3g_2d6986d.jpg/daily_care_lipstick_247703_3_3g_2d6986d.jpg;Y;Home | Default Category > Make-Up > colour > transparent | Default Category > Make-Up > make-up categories > lip care | Default Category > Make-Up > category > lips | Default Category > Skin care > category > eye / lip care;2026-01-29T01:03:29.824Z;;3,3 g
004352;Revitalising Hydro Cream;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/revitalising-hydro-cream;128,00;The light hydro cream quenches the thirst of dehydrated skin right down to the cells and at the same time slows down basic aging mechanisms. ;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/r/e/revitalising_hydro_cream_382747_50ml_f2ebfa9.jpg/revitalising_hydro_cream_382747_50ml_f2ebfa9.jpg;Y;Home | Default Category > Skin care > skin type > demanding skin | Default Category > Skin care > skin type > sensitive skin | Default Category > Skin care > skin type > dehydrated skin | Default Category > Skin care > skin type > mixed skin | Default Category > Skin care > skin type > normal skin | Default Category > Skin care > skin type > dry skin | Default Category > Skin care > customer needs > anti-aging | Default Category > Skin care > customer needs > more moisture /protection | Default Category > Skin care > customer needs > skin regeneration | Default Category > Skin care > category > facial care | Default Category > Skin care > Methode > Méthode Régénérante;2026-01-29T01:03:29.824Z;;50 ml
110637;Volumising Mousse ;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/volumising-mousse?childSku=4040218869804;25,00;<p>The vegan volumising mousse for long-lasting fullness and stable, carefree volumised looks.</p>;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volumising_mousse_398087_75ml_154aa09.jpg/volumising_mousse_398087_75ml_154aa09.jpg;Y;Home | Default Category > Styling > hair type > fine hair | Default Category > Styling > hair type > straight hair | Default Category > Styling > hair type > short hair | Default Category > Styling > hair type > long hair | Default Category > Styling > hair type > curly hair | Default Category > Styling > hair type > brittle hair | Default Category > Styling > hair type > dry hair | Default Category > Styling > hair type > unruly hair | Default Category > Styling > category > hair mousse | Default Category > Styling > customer wishes > volume/body | Default Category > Styling > other products > travel sizes | Default Category > Styling > application > Base | Default Category > Styling > hair type > dull hair | Default Category > Styling > holding factor > 3 | Default Category > Styling > customer wishes > hair shine | Default Category > Styling > customer wishes > texturize hair;2026-01-29T01:03:29.825Z;;75 ml
003705;Clarifying Fruit Exfoliant;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/clarifying-fruit-exfoliant;52,00;The clarifying fruit extract peeling has a deep-cleansing effect on blemished skin, frees blocked pores and provides a clear, pure complexion.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_fruit_exfoliant_400571_100ml_f1db8f4.jpg/clarifying_fruit_exfoliant_400571_100ml_f1db8f4.jpg;Y;Home | Default Category > Skin care > skin type > impure skin | Default Category > Skin care > customer needs > treat skin impurities | Default Category > Skin care > category > masks / peeling | Default Category > Skin care > Methode > Méthode Clarifiante;2026-01-29T01:03:29.825Z;;100 ml
018466;Compact Powder 1/2 Light Beige;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/extreme-stay-powder?childSku=4040218894004;74,00;<p>For a silky complexion. Compact Powder with an anti-shine effect and valuable ingredients mattifies the complexion without heaviness.</p>;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/compact_powder_1_2_light_beige_407824_9g_c6292a8.jpg/compact_powder_1_2_light_beige_407824_9g_c6292a8.jpg;Y;Home | Default Category > Make-Up > colour >  nude | Default Category > Make-Up > make-up categories > powder | Default Category > Make-Up > category > complexion;2026-01-29T01:03:29.826Z;;9 g
120244;Essentiel Classic Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/essentiel-classic-shampoo?childSku=4040218852103;38,00;The mild, delicately scented conditioning shampoo offers gentle cleansing for daily hair-washing for the whole family.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/s/essentiel_classic_shampoo_247235_250ml_f6ba433.jpg/essentiel_classic_shampoo_247235_250ml_f6ba433.jpg;Y;Home | Default Category > Hair & scalp care > hair type > natural hair | Default Category > Hair & scalp care > category > shampoo | Default Category > Hair & scalp care > Methode > Essentiel;2026-01-29T01:03:29.826Z;;250 ml
003678;Comforting Hydro Toner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/comforting-hydro-toner?childSku=4040218868203;50,00;The soothing toner alleviates the symptoms of sensitive, irritated skin, supplies it with rich moisture and perfectly prepares it for the subsequent care steps.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392015_250ml_7d4999b.jpg/comforting_hydro_toner_392015_250ml_7d4999b.jpg;Y;Home | Default Category > Skin care > skin type > sensitive skin | Default Category > Skin care > skin type > dehydrated skin | Default Category > Skin care > skin type > oily skin | Default Category > Skin care > skin type > mixed skin | Default Category > Skin care > skin type > dry skin | Default Category > Skin care > customer needs > more moisture /protection | Default Category > Skin care > category > facial cleansing / toning | Default Category > Skin care > Methode > Méthode Sensitive;2026-01-29T01:03:29.827Z;;250 ml
019503;Daily Care Blush;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/daily-care?childSku=4040218869903;41,00;The lip care stick restores silky softness to chapped lips, provides plenty of moisture and gives them natural shine – every day.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/a/daily_care_blush_378661_3_3g_75a57dd.jpg/daily_care_blush_378661_3_3g_75a57dd.jpg;Y;Home | Default Category > Make-Up > colour > apricot / coral | Default Category > Make-Up > make-up categories > lip care | Default Category > Make-Up > make-up categories > lipstick | Default Category > Make-Up > category > lips;2026-01-29T01:03:29.827Z;;3,3 g
003338;Homme Hair & Scalp Tonic;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/hair-scalp-tonic;38,00;"Refreshing scalp tonic with cooling effect. The Hair &amp; Scalp Tonic is combined with a scalp massage to positively encourage thick, lush hair.";https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_scalp_tonic_247259_150ml_04ecc64.jpg/homme_hair_scalp_tonic_247259_150ml_04ecc64.jpg;Y;Home | Default Category > Hair & scalp care > hair type > fine hair | Default Category > Hair & scalp care > hair type > normal scalp | Default Category > Hair & scalp care > Methode > Homme | Default Category > Hair & scalp care > customer's needs > better hair growth | Default Category > Hair & scalp care > category > scalpcare lotion;2026-01-29T01:03:29.828Z;man;150 ml
110456;Heat Protecting Spray;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/heat-protecting-spray;42,00;The heat protection spray ensures long-lasting smooth looks and sleek, shiny results.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/e/heat_protecting_spray_398187_100ml_3045bcc.jpg/heat_protecting_spray_398187_100ml_3045bcc.jpg;Y;Home | Default Category > Styling > application > Shape | Default Category > Styling > hair type > fine hair | Default Category > Styling > hair type > straight hair | Default Category > Styling > hair type > short hair | Default Category > Styling > hair type > long hair | Default Category > Styling > hair type > curly hair | Default Category > Styling > hair type > brittle hair | Default Category > Styling > hair type > dry hair | Default Category > Styling > hair type > unruly hair | Default Category > Styling > category > hair spray | Default Category > Styling > holding factor > 1 | Default Category > Styling > customer wishes > hair shine | Default Category > Styling > customer wishes > condition hair | Default Category > Styling > customer wishes > smooth hair | Default Category > Styling > customer wishes > heat protection | Default Category > Styling > customer wishes > sunscreen | Default Category > Styling > application > Frizz Control | Default Category > Styling > hair type > dull hair | Default Category > Styling > customer wishes > shape hair | Default Category > Styling > customer wishes > style curls;2026-01-29T01:03:29.828Z;;100 ml
120404;Frizz Control Smoothing Styling Fluid;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/frizz-control-smoothing-styling-fluid;44,00;Smoothing styling fluid for stubborn, unruly hair.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/r/frizz_control_smoothing_styling_fluid_247251_150ml_7859414.jpg/frizz_control_smoothing_styling_fluid_247251_150ml_7859414.jpg;Y;Home | Default Category > Hair & scalp care > hair type > brittle hair | Default Category > Hair & scalp care > hair type > dry hair / scalp | Default Category > Hair & scalp care > hair type > unruly hair | Default Category > Hair & scalp care > customer's needs > restrain unruly hair | Default Category > Hair & scalp care > customer's needs > smooth hair | Default Category > Hair & scalp care > category > styling & finishing | Default Category > Styling > hair type > brittle hair | Default Category > Styling > hair type > dry hair | Default Category > Styling > hair type > unruly hair | Default Category > Styling > category > hair fluid | Default Category > Styling > customer wishes > smooth hair | Default Category > Hair & scalp care > Methode > Frizz Control | Default Category > Styling > application > Frizz Control;2026-01-29T01:03:29.829Z;;150 ml
002575;Dermosthétique Redefining Lip Balm;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/dermosthetique-age-3-redefining-lip-balm;50,00;Moisturizing lip balm with AGE³  complex for smoother, more voluminous lips. ;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/d/e/dermosth_tique_redefining_lip_balm_247957_15ml_6f02bd5.jpg/dermosth_tique_redefining_lip_balm_247957_15ml_6f02bd5.jpg;Y;Home | Default Category > Skin care > customer needs > anti-aging | Default Category > Skin care > customer needs > lifting / tightening | Default Category > Skin care > category > facial care | Default Category > Skin care > Methode > Dermosthétique Skin | Default Category > Skin care > category > eye / lip care;2026-01-29T01:03:29.829Z;;15 ml
110813;Structuring Foam;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.ca/en/structuring-foam;42,00;The structure-building non-aerosol mousse impresses with its high proportion of natural ingredients, its convincing care effect and extremely strong hold.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/t/structuring_foam_398093_200ml_8c6e334.jpg/structuring_foam_398093_200ml_8c6e334.jpg;Y;Home | Default Category > Styling > category > hair mousse | Default Category > Styling > holding factor > 5 | Default Category > Styling > customer wishes > shape hair | Default Category > Styling > customer wishes > volume/body | Default Category > Styling > application > Frizz Control | Default Category > Styling > application > Base | Default Category > Styling > hair type > fine hair | Default Category > Styling > hair type > straight hair | Default Category > Styling > hair type > short hair | Default Category > Styling > hair type > long hair | Default Category > Styling > hair type > curly hair | Default Category > Styling > hair type > brittle hair | Default Category > Styling > hair type > dry hair | Default Category > Styling > hair type > unruly hair | Default Category > Styling > hair type > dull hair | Default Category > Styling > customer wishes > fix hair | Default Category > Styling > customer wishes > hair shine | Default Category > Styling > customer wishes > condition hair | Default Category > Styling > customer wishes > texturize hair;2026-01-29T01:03:29.829Z;;200 ml
