id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
002035;Hydrating Tan Activating Bodylotion;Haut- & Körperpflege;Hydrating Tan Activating Bodylotion;;;;;;;;;;;https://www.labiosthetique.at/tan-activating-bodylotion;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/y/hydrating_tan_activating_bodylotion_248069_200ml_0df5735.jpg/hydrating_tan_activating_bodylotion_248069_200ml_0df5735.jpg;;https://www.labiosthetique.at/tan-activating-bodylotion;;;;;;;;;;;;;;;;Feuchtigkeitsspendende, bräunungsaktivierende Körperlotion zur Vorbereitung auf die Sonne.;;;;;;;;;;;;;;;;;;;
120565;Curl Activating Conditioning Spray;Haarpflege;Curl Activating Conditioning Spray;;;;;;;;;;;https://www.labiosthetique.at/curl-activating-conditioning-spray;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/u/curl_activating_conditioning_spray_247197_200ml_aa62d1f.jpg/curl_activating_conditioning_spray_247197_200ml_aa62d1f.jpg;;https://www.labiosthetique.at/curl-activating-conditioning-spray;;;;;;;;;;;;;;;;Sprungkraft aktivierendes Haarpflegespray;;;;;;;;;;;;;;;;;;;
021703;Natural Skin 2/2 Medium Beige;Make-Up;Natural Skin 2/2 Medium Beige;;;;;;;;;;;https://www.labiosthetique.at/natural-skin?childSku=4040218841947;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/n/a/natural_skin_2_2_medium_beige_390393_30ml_cfc3772.jpg/natural_skin_2_2_medium_beige_390393_30ml_cfc3772.jpg;;https://www.labiosthetique.at/natural-skin?childSku=4040218841947;;;;;;;;;;;;;;;;Hautpflegendes Anti-Aging Make-up;;;;;;;;;;;;;;;;;;;
120922;Volume Strengthening Conditioning Spray;Haarpflege;Volume Strengthening Conditioning Spray;;;;;;;;;;;https://www.labiosthetique.at/volume-strengthening-conditioning-spray;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/v/o/volume_strengthening_conditioning_spray_247451_150ml_206c9e3.jpg/volume_strengthening_conditioning_spray_247451_150ml_206c9e3.jpg;;https://www.labiosthetique.at/volume-strengthening-conditioning-spray;;;;;;;;;;;;;;;;Stärkendes Haarpflegespray;;;;;;;;;;;;;;;;;;;
038222;Glam+Colour Iced Espresso .21 .BA Colouring Mask;Haarpflege;Glam+Colour Iced Espresso .21 .BA Colouring Mask;;;;;;;;;;;https://www.labiosthetique.at/glam-colour-iced-espresso-21-ba-colouring-mask;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_iced_espresso_.21_.ba_colouring_mask_381801_200ml_cf5a4ed.jpg/glam_colour_iced_espresso_.21_.ba_colouring_mask_381801_200ml_cf5a4ed.jpg;;https://www.labiosthetique.at/glam-colour-iced-espresso-21-ba-colouring-mask;;;;;;;;;;;;;;;;Farbmaske mit Farbschutz für braunes und braun coloriertes Haar (Tonhöhe 3-7).;;;;;;;;;;;;;;;;;;;
120737;Colour Protection Shine Restoring Softening Shampoo;Haarpflege;Colour Protection Shine Restoring Softening Shampoo;;;;;;;;;;;https://www.labiosthetique.at/colour-protection-shine-restoring-softening-shampoo?childSku=4040218873047;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_shine_restoring_softening_shampoo_389997_100ml_05bc930.jpg/colour_protection_shine_restoring_softening_shampoo_389997_100ml_05bc930.jpg;;https://www.labiosthetique.at/colour-protection-shine-restoring-softening-shampoo?childSku=4040218873047;;;;;;;;;;;;;;;;Farbbrillanz auffrischendes Shampoo;;;;;;;;;;;;;;;;;;;
018205;Silky Mineral Powder 2/4 Medium Peach;Make-Up;Silky Mineral Powder 2/4 Medium Peach;;;;;;;;;;;https://www.labiosthetique.at/silky-mineral-powder?childSku=4040218835946;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/i/silky_mineral_powder_2_4_medium_peach_247789_12g_19e3da6.jpg/silky_mineral_powder_2_4_medium_peach_247789_12g_19e3da6.jpg;;https://www.labiosthetique.at/silky-mineral-powder?childSku=4040218835946;;;;;;;;;;;;;;;;Loses Mineral-Puder-Make-up für einen Teint, so zart und glatt wie feinste Seide;;;;;;;;;;;;;;;;;;;
016532;Magic Shadow 53 Shiny Copper;Make-Up;Magic Shadow 53 Shiny Copper;;;;;;;;;;;https://www.labiosthetique.at/magic-shadow?childSku=4040218870046;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_53_shiny_copper_378577_2_5g_7b81ac0.jpg/magic_shadow_53_shiny_copper_378577_2_5g_7b81ac0.jpg;;https://www.labiosthetique.at/magic-shadow?childSku=4040218870046;;;;;;;;;;;;;;;;Magischer Puder-Lidschatten mit langanhaltender, samtiger Textur.;;;;;;;;;;;;;;;;;;;
003081;Clarifying Aroma Complex;Haut- & Körperpflege;Clarifying Aroma Complex;;;;;;;;;;;https://www.labiosthetique.at/clarifying-aroma-complex;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_aroma_complex_384894_10ml_06a3f1c.jpg/clarifying_aroma_complex_384894_10ml_06a3f1c.jpg;;https://www.labiosthetique.at/clarifying-aroma-complex;;;;;;;;;;;;;;;;Etherische Ölkonzentrate zur klärenden Behandlung der Gesichtshaut;;;;;;;;;;;;;;;;;;;
042597;Bürste Ceramic C-2000;Haarpflege,Styling;Bürste Ceramic C-2000;;;;;;;;;;;https://www.labiosthetique.at/keramikbuerste-c-2000;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/_/b_rste_ceramic_c_2000_247427_1St_ck_49771e0.jpg/b_rste_ceramic_c_2000_247427_1St_ck_49771e0.jpg;;https://www.labiosthetique.at/keramikbuerste-c-2000;;;;;;;;;;;;;;;;Die Profibürste direkt aus der Zukunft: Sie wirkt antibakteriell und deodorierend, das Haar erhält gesunden Glanz und ist darüber hinaus leichter und schneller zu stylen.;;;;;;;;;;;;;;;;;;;
