id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
003939;Homme Hair Beard Body Wash;hair care,skin & body care;Homme Hair Beard Body Wash;;;;;;;;;;;https://www.labiosthetique.co.uk/hair-beard-body-wash?childSku=4040218802597;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;;https://www.labiosthetique.co.uk/hair-beard-body-wash?childSku=4040218802597;;;;;;;;;;;;;;;;For skin, hair and beard: Energising shower gel that gently cleanses and contains an extra portion of moisture to protect against dehydration of skin and hair.;;;;;;;;;;;;;;;;;;;
120931;Hairloss Control Scalp Concentrate;hair care;Hairloss Control Scalp Concentrate;;;;;;;;;;;https://www.labiosthetique.co.uk/hairloss-control-scalp-concentrate;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg;;https://www.labiosthetique.co.uk/hairloss-control-scalp-concentrate;;;;;;;;;;;;;;;;Scalp concentrate against hair loss;;;;;;;;;;;;;;;;;;;
002739;Clarifying Spot Gel;skin & body care;Clarifying Spot Gel;;;;;;;;;;;https://www.labiosthetique.co.uk/clarifying-spot-gel;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg;;https://www.labiosthetique.co.uk/clarifying-spot-gel;;;;;;;;;;;;;;;;Clarifying hydrogel to combat blemishes;;;;;;;;;;;;;;;;;;;
110407;Formule Laque Fine;styling;Formule Laque Fine;;;;;;;;;;;https://www.labiosthetique.co.uk/formule-laque-fine;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/formule_laque_fine_280247_300ml_6e50ec1.jpg/formule_laque_fine_280247_300ml_6e50ec1.jpg;;https://www.labiosthetique.co.uk/formule-laque-fine;;;;;;;;;;;;;;;;Aerosol fine hairspray for body, volume and weightless hold;;;;;;;;;;;;;;;;;;;
017449;Automatic Pencil for Lips LL32 Rosewood;make-up;Automatic Pencil for Lips LL32 Rosewood;;;;;;;;;;;https://www.labiosthetique.co.uk/automatic-pencil-for-lips?childSku=4040218774696;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_28g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_28g_bcf0a7c.jpg;;https://www.labiosthetique.co.uk/automatic-pencil-for-lips?childSku=4040218774696;;;;;;;;;;;;;;;;Waterproof lip liner for a precise lip line;;;;;;;;;;;;;;;;;;;
021278;Liquid Glam;make-up;Liquid Glam;;;;;;;;;;;https://www.labiosthetique.co.uk/liquid-glam;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;;https://www.labiosthetique.co.uk/liquid-glam;;;;;;;;;;;;;;;;Transparent all over glitter gel;;;;;;;;;;;;;;;;;;;
180255;Shampooing Hydrotoxa;hair care;Shampooing Hydrotoxa;;;;;;;;;;;https://www.labiosthetique.co.uk/shampooing-hydrotoxa-180255;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/h/shampooing_hydrotoxa_247311_250ml_adbd04e.jpg/shampooing_hydrotoxa_247311_250ml_adbd04e.jpg;;https://www.labiosthetique.co.uk/shampooing-hydrotoxa-180255;;;;;;;;;;;;;;;;Active shampoo for straggly hair;;;;;;;;;;;;;;;;;;;
002628;Sun Care Stick SPF 50+;skin & body care;Sun Care Stick SPF 50+;;;;;;;;;;;https://www.labiosthetique.co.uk/sun-care-stick-spf-50;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg;;https://www.labiosthetique.co.uk/sun-care-stick-spf-50;;;;;;;;;;;;;;;;Very high sun protection for sensitive skin;;;;;;;;;;;;;;;;;;;
123212;Colour Protection Structure Restoring Treatment;hair care;Colour Protection Structure Restoring Treatment;;;;;;;;;;;https://www.labiosthetique.co.uk/colour-protection-structure-restoring-treatment;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg;;https://www.labiosthetique.co.uk/colour-protection-structure-restoring-treatment;;;;;;;;;;;;;;;;A restructuring deep-conditioning treatment;;;;;;;;;;;;;;;;;;;
002241;After Sun Soothing Hydro Spray;skin & body care;After Sun Soothing Hydro Spray;;;;;;;;;;;https://www.labiosthetique.co.uk/after-sun-soothing-hydro-spray;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg;;https://www.labiosthetique.co.uk/after-sun-soothing-hydro-spray;;;;;;;;;;;;;;;;Calming after-sun hydro spray;;;;;;;;;;;;;;;;;;;
120613;Fortifying Shampoo;hair care;Fortifying Shampoo;;;;;;;;;;;https://www.labiosthetique.co.uk/fortifying-shampoo;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg;;https://www.labiosthetique.co.uk/fortifying-shampoo;;;;;;;;;;;;;;;;Strengthening shampoo;;;;;;;;;;;;;;;;;;;
