guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
003737;Comforting Hydro Toner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/comforting-hydro-toner?childSku=4040218868197;6,50 EUR;Ce tonique bienfaisant soulage les symptômes d'une peau sensible irritée, l'hydrate intensément et la prépare de manière optimale aux étapes de soin suivantes. Pour tous les adeptes de Visalix Sensitif ce sera votre nouveau produit préféré.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;Y;Home | Default Category > Corps & Visage > Nature > Peau sensible | Default Category > Corps & Visage > Nature > Peau deshydratée | Default Category > Corps & Visage > Nature > Peau mixte | Default Category > Corps & Visage > Nature > Peau sèche | Default Category > Corps & Visage > Besoin > Plus d'hydratation / de protection  | Default Category > Corps & Visage > Catégorie > Démaquillage / lotion visage | Default Category > Corps & Visage > Methode > Méthode Sensitive | Default Category > Corps & Visage > Divers > Format voyage;2025-07-16T12:49:02.955Z;;50 ml
120931;Hairloss Control Scalp Concentrate;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/hairloss-control-scalp-concentrate;164,00 EUR;Le concentré pour cuir chevelu revitalise les racines des cheveux et prolonge leur cycle de vie. La chute de cheveux est combattue par des mécanismes d'action différenciés, la croissance des cheveux est stimulée, la qualité et la densité des cheveux sont nettement améliorées. Pour tous les adeptes de Thérapie Anti-Chute Premium ce sera votre nouveau produit préféré.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/a/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg;Y;Home | Default Category > Cheveux > Methode > Méthode Régénérante | Default Category > Cheveux > Action > Croissance des cheveux | Default Category > Cheveux > Action > Anti-cheveux blancs | Default Category > Cheveux > Besoin > Ampoules cuir chevelu;2025-07-16T12:49:02.956Z;;100 ml
002739;Clarifying Spot Gel (ex Likopan Gel);Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/clarifying-spot-gel;25,50 EUR;Hydrogel clarifiant pour le traitement ciblé et efficace des zones concernées en cas de points noirs et de boutons. Pour tous les adeptes de Likopan Gel ce sera votre nouveau produit préféré.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/l/clarifying_spot_gel_396279_15ml_66db2a2.jpg/clarifying_spot_gel_396279_15ml_66db2a2.jpg;Y;Home | Default Category > Corps & Visage > Nature > Peau mixte | Default Category > Corps & Visage > Nature > Peau impure | Default Category > Corps & Visage > Besoin > Eliminer les impuretés  | Default Category > Corps & Visage > Catégorie > Soins du visage | Default Category > Corps & Visage > Methode > Méthode Clarifiante;2025-07-16T12:49:02.956Z;;15 ml
021278;Liquid Glam;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/liquid-glam;35,00 EUR;Le gel pailleté transparent et polyvalent crée des reflets étincelants sur la peau et met en valeur les yeux, les pommettes, les lèvres ou le décolleté.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/l/i/liquid_glam_388847_4ml_0f1203c.jpg/liquid_glam_388847_4ml_0f1203c.jpg;Y;Home | Default Category > Make-up > Nuances > transparent | Default Category > Make-up > Catégorie > Teint;2025-07-16T12:49:02.956Z;;4 ml
002628;Sun Care Stick SPF 50+;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/sun-care-stick-spf-50;28,50 EUR;La crème solaire SPF 50+ délicatement fondante protège de manière complète les peaux sensibles du visage et du corps des coups de soleil et des effets nocifs des UV.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_stick_spf_50_248079_8g_405648b.jpg/sun_care_stick_spf_50_248079_8g_405648b.jpg;Y;Home | Default Category > Corps & Visage > Catégorie > Soins solaires | Default Category > Corps & Visage > Methode > Soleil;2025-07-16T12:49:02.957Z;;8 g
123212;Colour Protection Structure Restoring Treatment;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/colour-protection-structure-restoring-treatment;72,00 EUR;Grâce à ses deux phases, le soin capillaire intensif répare et régénère la structure interne et externe des cheveux ayant subi des traitements chimiques. Il les fortifie, les préserve de la casse, les protège des agressions et du dégorgement prématuré.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg;Y;Home | Default Category > Cheveux > Action > Protection couleur | Default Category > Cheveux > Besoin > Traitement | Default Category > Cheveux > Methode > Colour Protection | Default Category > Cheveux > Nature > Cheveux colorés;2025-07-16T12:49:02.957Z;;1 set
002241;After Sun Soothing Hydro Spray;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/after-sun-soothing-hydro-spray;20,00 EUR;Le spray hydratant et rafraîchissant intense apaise et détend immédiatement les peaux stressées par le soleil et leur offre un soin précieux;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/f/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg;Y;Home | Default Category > Corps & Visage > Nature > Peau éxigeante | Default Category > Corps & Visage > Nature > Peau sensible | Default Category > Corps & Visage > Nature > Peau deshydratée | Default Category > Corps & Visage > Nature > Peau grasse | Default Category > Corps & Visage > Nature > Peau mixte | Default Category > Corps & Visage > Nature > Peau normale | Default Category > Corps & Visage > Nature > Peau sèche | Default Category > Corps & Visage > Nature > Peau impure | Default Category > Corps & Visage > Besoin > Plus d'hydratation / de protection  | Default Category > Corps & Visage > Catégorie > Soins solaires | Default Category > Corps & Visage > Methode > Soleil;2025-07-16T12:49:02.958Z;;100 ml
120613;Fortifying Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/fortifying-shampoo;33,00 EUR;Ce shampooing doux renforce les racines des cheveux, redonne de la force aux cheveux affaiblis et cassants et prépare le cuir chevelu aux soins ultérieurs contre la chute et les troubles de la croissance des cheveux. Pour tous les adeptes de Shampooing Bio-Fanelan ce sera votre nouveau produit préféré.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/f/o/fortifying_shampoo_382571_250ml_a2d6f95.jpg/fortifying_shampoo_382571_250ml_a2d6f95.jpg;Y;Home | Default Category > Cheveux > Methode > Méthode Régénérante | Default Category > Cheveux > Action > Croissance des cheveux | Default Category > Cheveux > Besoin > Shampooing;2025-07-16T12:49:02.958Z;;250 ml
053518;Porte-savon;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/seifenschale;12,00 EUR;Donnez une touche d’élégance à votre salle de bains avec ce porte-savon au design épuré qui ira parfaitement avec Le Savon délicatement parfumé de notre gamme SPA;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/e/seifenschale_280291_1St_ck_af203e0.jpg/seifenschale_280291_1St_ck_af203e0.jpg;Y;Home | Default Category > Corps & Visage > Catégorie > Démaquillage / lotion visage | Default Category > Corps & Visage > Methode > Spa & soins du corps bien-être | Default Category > Corps & Visage > Divers > Accessoires;2025-07-16T12:49:02.959Z;;1 pcs
016756;Magic Shadow 47 Smooth Cappuccino;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.fr/magic-shadow?childSku=4040218824094;25,00 EUR;Cette ombre à paupières en poudre pare les paupières de reflets magiques grâce à ses pigments colorés en poudre.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/m/a/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg/magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg;Y;Home | Default Category > Make-up > Type de maquillage > Ombre à paupières | Default Category > Make-up > Catégorie > Yeux | Default Category > Make-up > Nuances > brun  >  bronze;2025-07-16T12:49:02.959Z;;2,5 g
