id,gtin,title,brand,link,price,description,image_link,availability,quantity_to_sell_on_facebook,fb_product_category,google_product_category,currency,custom_label_0,custom_label_1,custom_label_2,custom_label_3,size,gender,condition,shipping,override
003737,4040218868197,Comforting Hydro Toner,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/comforting-hydro-toner?childSku=4040218868197,6.50 EUR,"Il tonico benefico lenisce i sintomi di una pelle sensibile, irritata. Dona ricca idratazione e prepara la pelle in maniera ottimale ai passaggi successivi del trattamento. Per tutti gli amanti di Visalix Sensitif questo sarà il vostro nuovo prodotto preferito.",https://image.labiosthetique.com/i/square-1440/m2-product:comforting_hydro_toner_392037_50ml_8643769.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Pelle & corpo,Méthode Sensitive,,,50 ml,unisex,new,IT:::0.00 EUR,it_IT
120931,4040218871197,Hairloss Control Scalp Concentrate,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/hairloss-control-scalp-concentrate,161.00 EUR,"Il concentrato per la cute rivitalizza le radici dei capelli e ne prolunga il ciclo di vita. Affronta la caduta con meccanismi d'azione differenziati, favorisce la crescita dei capelli e ne migliora in modo significativo la qualità e la densità.",https://image.labiosthetique.com/i/square-1440/m2-product:hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Capelli,Méthode Régénérante,Topseller,,100 ml,unisex,new,IT:::0.00 EUR,it_IT
002739,4040218882797,Clarifying Spot Gel (ex Likopan Gel),Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/clarifying-spot-gel,24.50 EUR,Hydro-gel purificante per un trattamento mirato ed efficace delle aree cutanee interessate da punti neri e brufoli. Per tutti gli amanti di Lipokane Gel questo sarà il vostro nuovo prodotto preferito.,https://image.labiosthetique.com/i/square-1440/m2-product:clarifying_spot_gel_396279_15ml_66db2a2.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Pelle & corpo,Méthode Clarifiante,,,15 ml,unisex,new,IT:::0.00 EUR,it_IT
021278,4040218876796,Liquid Glam,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/liquid-glam,34.50 EUR,"Il gel glitterato trasparente e versatile crea riflessi scintillanti sulla pelle e mette in risalto occhi, zigomi, labbra o décolleté.",https://image.labiosthetique.com/i/square-1440/m2-product:liquid_glam_388847_4ml_0f1203c.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,4 ml,unisex,new,IT:::0.00 EUR,it_IT
002628,4040218848595,Sun Care Stick SPF 50+,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/sun-care-stick-spf-50,25.50 EUR,"La crema solare con SPF 50+, che si scioglie delicatamente, protegge la pelle sensibile del viso e del corpo dalle scottature solari e dai danni profondi causati dai raggi UV.",https://image.labiosthetique.com/i/square-1440/m2-product:sun_care_stick_spf_50_248079_8g_405648b.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Pelle & corpo,Soleil,,,8 g,unisex,new,IT:::0.00 EUR,it_IT
123212,4040218849295,Colour Protection Structure Restoring Treatment,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/colour-protection-structure-restoring-treatment,76.50 EUR,"In due fasi questo trattamento intensivo per capelli ripara e rigenera la struttura interna ed esterna del capello danneggiato, lo rinforza, impedisce che si spezzi e lo protegge dagli agenti ambientali nocivi nonché da una precoce perdita di colore.",https://image.labiosthetique.com/i/square-1440/m2-product:colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Capelli,Colour Protection,,,1 set,unisex,new,IT:::0.00 EUR,it_IT
002241,4040218863895,After Sun Soothing Hydro Spray,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/after-sun-soothing-hydro-spray,20.00 EUR,L’idro-spray rinfrescante lenisce e rilassa immediatamente la pelle stressata dal sole e dona preziosa idratazione.,https://image.labiosthetique.com/i/square-1440/m2-product:after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Pelle & corpo,Soleil,,,100 ml,unisex,new,IT:::0.00 EUR,it_IT
120613,4040218871395,Fortifying Shampoo,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/fortifying-shampoo,32.50 EUR,"Lo shampoo delicato rinforza le radici dei capelli, ridona vigore ai capelli indeboliti e fragili e prepara il cuoio capelluto ai trattamenti successivi anticaduta e contro i disturbi della crescita.",https://image.labiosthetique.com/i/square-1440/m2-product:fortifying_shampoo_382571_250ml_a2d6f95.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Capelli,Méthode Régénérante,Topseller,,250 ml,unisex,new,IT:::0.00 EUR,it_IT
016756,4040218824094,Magic Shadow 47 Smooth Cappuccino,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/magic-shadow?childSku=4040218824094,25.00 EUR,L’ombretto crea accenti magici sulle palpebre grazie ai suoi pigmenti colorati in polvere.,https://image.labiosthetique.com/i/square-1440/m2-product:magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"2,5 g",unisex,new,IT:::0.00 EUR,it_IT
017622,4040218889994,Brow Definer B01 Dark Brown,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.it/brow-definer?childSku=4040218889994,24.50 EUR,"La stilosa e slanciata Brow Definer definisce senza sforzo sopracciglia precise, dall'effetto naturale, includendo anche i peletti più piccoli e sfumandone i contorni. Basta girare la punta ultra sottile e il gioco è fatto. Con ingredienti vegan, naturali e vitamine trattanti.",https://image.labiosthetique.com/i/square-1440/m2-product:brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,Topseller,,"0,09 g",unisex,new,IT:::0.00 EUR,it_IT
