id,gtin,title,brand,link,price,description,image_link,availability,quantity_to_sell_on_facebook,fb_product_category,google_product_category,currency,custom_label_0,custom_label_1,custom_label_2,custom_label_3,size,gender,condition,shipping,override
120931,4040218871197,Hairloss Control Scalp Concentrate,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/hairloss-control-scalp-concentrate,158.00 CHF,"Le concentré pour cuir chevelu revitalise les racines des cheveux et prolonge leur cycle de vie. La chute de cheveux est combattue par des mécanismes d'action différenciés, la croissance des cheveux est stimulée, la qualité et la densité des cheveux sont nettement améliorées. Pour tous les adeptes de Thérapie Anti-Chute Premium ce sera votre nouveau produit préféré.",https://image.labiosthetique.com/i/square-1440/m2-product:hairloss_control_scalp_concentrate_384383_100ml_4e2f9e9.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Soins cheveux & cuir chevelu,Méthode Régénérante,,,100 ml,unisex,new,CH:::0.00 CHF,CH
002739,4040218882797,Clarifying Spot Gel,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/clarifying-spot-gel,28.50 CHF,Hydrogel clarifiant pour le traitement ciblé et efficace des zones concernées en cas de points noirs et de boutons. Pour tous les adeptes de Likopan Gel ce sera votre nouveau produit préféré.,https://image.labiosthetique.com/i/square-1440/m2-product:clarifying_spot_gel_396279_15ml_66db2a2.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Soins de la peau,Méthode Clarifiante,,,15 ml,unisex,new,CH:::0.00 CHF,CH
021278,4040218876796,Liquid Glam,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/liquid-glam,39.50 CHF,"Le gel pailleté transparent et polyvalent crée des reflets étincelants sur la peau et met en valeur les yeux, les pommettes, les lèvres ou le décolleté.",https://image.labiosthetique.com/i/square-1440/m2-product:liquid_glam_388847_4ml_0f1203c.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,4 ml,unisex,new,CH:::0.00 CHF,CH
002628,4040218848595,Sun Care Stick SPF 50+,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/sun-care-stick-spf-50,27.50 CHF,La crème solaire SPF 50+ délicatement fondante protège de manière complète les peaux sensibles du visage et du corps des coups de soleil et des effets nocifs des UV.,https://image.labiosthetique.com/i/square-1440/m2-product:sun_care_stick_spf_50_248079_8g_405648b.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Soins de la peau,Soleil,,,8 g,unisex,new,CH:::0.00 CHF,CH
123212,4040218849295,Colour Protection Structure Restoring Treatment,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/colour-protection-structure-restoring-treatment,81.00 CHF,"Grâce à ses deux phases, le soin capillaire intensif répare et régénère la structure interne et externe des cheveux ayant subi des traitements chimiques. Il les fortifie, les préserve de la casse, les protège des agressions et du dégorgement prématuré.",https://image.labiosthetique.com/i/square-1440/m2-product:colour_protection_structure_restoring_treatment_247177_1Set_89b3601.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Soins cheveux & cuir chevelu,Colour Protection,,,1 set,unisex,new,CH:::0.00 CHF,CH
002241,4040218863895,After Sun Soothing Hydro Spray,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/after-sun-soothing-hydro-spray,22.00 CHF,Le spray hydratant et rafraîchissant intense apaise et détend immédiatement les peaux stressées par le soleil et leur offre un soin précieux,https://image.labiosthetique.com/i/square-1440/m2-product:after_sun_soothing_hydro_spray_356893_100ml_d6d8669.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Soins de la peau,Soleil,,,100 ml,unisex,new,CH:::0.00 CHF,CH
120613,4040218871395,Fortifying Shampoo,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/fortifying-shampoo,33.00 CHF,"Ce shampooing doux renforce les racines des cheveux, redonne de la force aux cheveux affaiblis et cassants et prépare le cuir chevelu aux soins ultérieurs contre la chute et les troubles de la croissance des cheveux. Pour tous les adeptes de Shampooing Bio-Fanelan ce sera votre nouveau produit préféré.",https://image.labiosthetique.com/i/square-1440/m2-product:fortifying_shampoo_382571_250ml_a2d6f95.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Soins cheveux & cuir chevelu,Méthode Régénérante,,,250 ml,unisex,new,CH:::0.00 CHF,CH
016756,4040218824094,Magic Shadow 47 Smooth Cappuccino,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/magic-shadow?childSku=4040218824094,28.00 CHF,Cette ombre à paupières en poudre pare les paupières de reflets magiques grâce à ses pigments colorés en poudre.,https://image.labiosthetique.com/i/square-1440/m2-product:magic_shadow_47_smooth_cappuccino_247563_2_5g_52b48c6.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"2,5 g",unisex,new,CH:::0.00 CHF,CH
017622,4040218889994,Brow Definer B01 Dark Brown,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/brow-definer?childSku=4040218889994,28.00 CHF,"Brow Definer au design fin et élégant dessine facilement des sourcils précis à l’effet naturel, souligne chaque poil et nuance les contours. Sa pointe ultra-fine est prête à l’emploi d’un simple geste. Enrichi en ingrédients naturels et en vitamines soin, 100 % vegan.",https://image.labiosthetique.com/i/square-1440/m2-product:brow_definer_b01_dark_brown_406083_0_09g_16b83b4.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"0,09 g",unisex,new,CH:::0.00 CHF,CH
016966,4040218814293,Eyeshadow Pen Macadamia,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.ch/it/eyeshadow-pen?childSku=4040218814293,26.00 CHF,"En ombre à paupières ou eyeliner, la texture délicatement crémeuse d’Eyeshadow Pen s’applique et s'estompe facilement.",https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_macadamia_247575_1_4g_a242ab1.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-up,,,,"1,4 g",female,new,CH:::0.00 CHF,CH
