id;name;category;text1;text2;text3;text4;text5;text6;text7;text8;text9;text10;link1Text;link1Url;link2Text;link2Url;link3Text;link3Url;image1ImageUrl;image1AltText;image1Link;image2ImageUrl;image2AltText;image2Link;image3ImageUrl;image3AltText;image3Link;image4ImageUrl;image4AltText;image4Link;image5ImageUrl;image5AltText;image5Link;image6ImageUrl;image6AltText;image6Link;additionalData1;additionalData2;additionalData3;additionalData4;additionalData5;additionalData6;additionalData7;additionalData8;additionalData9;additionalData10;additionalData11;additionalData12;additionalData13;additionalData14;additionalData15;additionalData16;additionalData17;additionalData18;additionalData19;additionalData20
016399;Eyeshadow Pen Smoky Topaz;Make-up;Eyeshadow Pen Smoky Topaz;;;;;;;;;;;https://www.labiosthetique.dk/eyeshadow-pen?childSku=4040218791099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;;https://www.labiosthetique.dk/eyeshadow-pen?childSku=4040218791099;;;;;;;;;;;;;;;;Praktisk Eyeshadow Pen: Kreerer hurtigt og enkelt en perfekt, viske- og vandfast øjenmake-up.;;;;;;;;;;;;;;;;;;;
016301;Eyeshadow Pen Cloudy Lilac;Make-up;Eyeshadow Pen Cloudy Lilac;;;;;;;;;;;https://www.labiosthetique.dk/eyeshadow-pen?childSku=4040218829099;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;;https://www.labiosthetique.dk/eyeshadow-pen?childSku=4040218829099;;;;;;;;;;;;;;;;Praktisk Eyeshadow Pen: Kreerer hurtigt og enkelt en perfekt, viske- og vandfast øjenmake-up.;;;;;;;;;;;;;;;;;;;
002396;Sun Care Body Lotion SPF 50;Hudpleje;Sun Care Body Lotion SPF 50;;;;;;;;;;;https://www.labiosthetique.dk/sun-care-body-lotion-spf-50;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;;https://www.labiosthetique.dk/sun-care-body-lotion-spf-50;;;;;;;;;;;;;;;;Sonnenlotion mit SPF 50;;;;;;;;;;;;;;;;;;;
120725;Spa Wellness Hair Shampoo;Hår- & hovedbundspleje;Spa Wellness Hair Shampoo;;;;;;;;;;;https://www.labiosthetique.dk/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;;https://www.labiosthetique.dk/spa-wellness-hair-shampoo?childSku=4040218855999;;;;;;;;;;;;;;;;Wellness-shampoo til daglig hårvask;;;;;;;;;;;;;;;;;;;
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Hår- & hovedbundspleje;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;;;;;;;;;;;https://www.labiosthetique.dk/glam-colour-icy-crystal-07-lv-colouring-conditioner;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;;https://www.labiosthetique.dk/glam-colour-icy-crystal-07-lv-colouring-conditioner;;;;;;;;;;;;;;;;Pleje til kølige blondtoner;;;;;;;;;;;;;;;;;;;
019055;Automatic Pencil for Lips LL32 Rosewood;Make-up;Automatic Pencil for Lips LL32 Rosewood;;;;;;;;;;;https://www.labiosthetique.dk/automatic-pencil-for-lips?childSku=4040218888799;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg;;https://www.labiosthetique.dk/automatic-pencil-for-lips?childSku=4040218888799;;;;;;;;;;;;;;;;Vandfast læbekonturpen til præcise læbekonturer;;;;;;;;;;;;;;;;;;;
020607;Brilliant Nail Top Coat;Make-up;Brilliant Nail Top Coat;;;;;;;;;;;https://www.labiosthetique.dk/brilliant-nail-top-coat;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;;https://www.labiosthetique.dk/brilliant-nail-top-coat;;;;;;;;;;;;;;;;Forseglende transparent lak med højglans: Kan lægges på neglene for at beskytte dem og i stedet for en farvet neglelak.;;;;;;;;;;;;;;;;;;;
017524;Pencil for Eyes Violet Silk;Make-up;Pencil for Eyes Violet Silk;;;;;;;;;;;https://www.labiosthetique.dk/pencil-for-eyes?childSku=4040218875898;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;;https://www.labiosthetique.dk/pencil-for-eyes?childSku=4040218875898;;;;;;;;;;;;;;;;Blid kajal-eyeliner til naturlige øjeblikke - hver dag;;;;;;;;;;;;;;;;;;;
003939;Homme Hair Beard Body Wash;Hår- & hovedbundspleje,Hudpleje;Homme Hair Beard Body Wash;;;;;;;;;;;https://www.labiosthetique.dk/hair-beard-body-wash?childSku=4040218802597;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;;https://www.labiosthetique.dk/hair-beard-body-wash?childSku=4040218802597;;;;;;;;;;;;;;;;Til hud, hår og skæg. Energigivende og blidt rensende showergel, som tilfører ekstra fugtighed og beskytter hud og hår mod udtørring.;;;;;;;;;;;;;;;;;;;
003737;Comforting Hydro Toner;Hudpleje;Comforting Hydro Toner;;;;;;;;;;;https://www.labiosthetique.dk/comforting-hydro-toner?childSku=4040218868197;;;;;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/c/o/comforting_hydro_toner_392037_50ml_8643769.jpg/comforting_hydro_toner_392037_50ml_8643769.jpg;;https://www.labiosthetique.dk/comforting-hydro-toner?childSku=4040218868197;;;;;;;;;;;;;;;;Beroligende, fugtighedstilførende tonic;;;;;;;;;;;;;;;;;;;
